,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total,clusters,cluster
8854,59,5,89,25,124,752,0,pink
8855,35,5,49,10,75,709,0,pink
8856,1020,10,652,452,1225,4194,1,purple
8857,5,0,5,0,5,38,0,pink
8858,5,0,5,5,5,65,0,pink
8859,29,0,13,12,30,115,0,pink
8860,58,5,31,24,65,233,0,pink
8861,193,5,121,84,231,838,0,pink
8862,246,0,176,117,305,960,0,pink
8863,288,5,180,128,342,1073,0,pink
8864,197,5,125,83,241,872,0,pink
8865,810,5,564,402,974,3462,1,purple
8866,5,0,5,0,5,49,0,pink
8867,5,0,5,5,5,52,0,pink
8868,5,0,5,5,5,77,0,pink
8869,23,0,13,5,28,154,0,pink
8870,138,0,126,77,187,669,0,pink
8871,235,5,162,125,273,793,0,pink
8872,238,0,150,109,279,923,0,pink
8873,162,5,103,77,189,745,0,pink
8874,234,5,303,92,445,3027,0,pink
8875,0,0,0,0,0,33,0,pink
8876,0,0,5,0,5,74,0,pink
8877,5,0,5,5,5,87,0,pink
8878,5,0,16,5,24,163,0,pink
8879,53,0,65,22,96,581,0,pink
8880,55,5,85,30,110,703,0,pink
8881,73,0,84,27,130,758,0,pink
8882,43,0,47,11,79,628,0,pink
8883,92,5,208,26,280,2737,0,pink
8884,0,0,5,0,5,43,0,pink
8885,5,0,5,0,5,65,0,pink
8886,0,5,5,0,5,104,0,pink
8887,5,0,5,5,5,132,0,pink
8888,12,5,42,5,51,526,0,pink
8889,28,5,50,5,74,619,0,pink
8890,22,5,68,10,81,705,0,pink
8891,25,5,38,5,59,543,0,pink
8892,50,5,175,12,216,2775,0,pink
8893,0,0,5,0,5,38,0,pink
8894,5,0,0,0,5,66,0,pink
8895,5,0,5,5,5,70,0,pink
8896,5,0,5,5,5,158,0,pink
8897,5,5,33,5,42,549,0,pink
8898,16,0,46,5,58,610,0,pink
8899,11,5,46,5,57,675,0,pink
8900,10,0,39,5,46,609,0,pink
8901,101,5,180,29,255,2708,0,pink
8902,0,0,5,0,5,43,0,pink
8903,5,0,0,0,5,56,0,pink
8904,5,0,5,0,5,75,0,pink
8905,5,0,5,0,12,126,0,pink
8906,11,5,34,5,42,532,0,pink
8907,25,5,44,5,64,615,0,pink
8908,31,0,57,5,79,656,0,pink
8909,26,5,35,10,52,605,0,pink
8910,216,5,267,72,413,3034,0,pink
8911,0,0,0,0,0,47,0,pink
8912,5,0,5,0,5,61,0,pink
8913,5,5,5,0,5,91,0,pink
8914,5,0,5,5,5,136,0,pink
8915,19,5,54,5,66,571,0,pink
8916,53,0,69,20,102,690,0,pink
8917,65,0,53,16,102,709,0,pink
8918,72,0,80,27,125,729,0,pink
8919,206,0,240,67,379,2937,0,pink
8920,0,0,0,0,0,46,0,pink
8921,5,0,5,0,5,60,0,pink
8922,5,0,5,0,5,96,0,pink
8923,5,0,5,5,13,129,0,pink
