,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total,clusters,cluster
2009,10,5,5,5,10,112,0,pink
2010,34,0,28,23,39,190,0,pink
2011,62,5,50,39,74,249,0,pink
2012,308,0,210,182,336,921,0,pink
2013,284,5,229,188,326,1076,0,pink
2014,237,5,196,159,275,1174,0,pink
2015,151,5,126,85,194,1223,0,pink
2016,1083,18,761,546,1316,5201,1,purple
2017,5,0,5,0,5,52,0,pink
2018,5,0,5,5,12,107,0,pink
2019,32,5,22,14,41,183,0,pink
2020,67,0,44,35,76,264,0,pink
2021,210,5,135,103,243,842,0,pink
2022,246,5,177,130,299,1038,0,pink
2023,278,5,213,149,347,1265,0,pink
2024,242,5,161,114,294,1450,0,pink
2025,634,5,494,339,793,3953,1,purple
2026,5,0,0,0,5,56,0,pink
2027,5,0,5,5,5,82,0,pink
2028,5,0,5,5,12,146,0,pink
2029,22,0,18,13,27,164,0,pink
2030,105,0,92,61,136,623,0,pink
2031,162,0,132,96,198,830,0,pink
2032,177,5,141,98,222,968,0,pink
2033,154,5,103,66,193,1084,0,pink
2034,238,5,264,100,407,3923,1,purple
2035,5,0,5,5,5,52,0,pink
2036,5,0,5,0,5,106,0,pink
2037,5,0,5,0,5,139,0,pink
2038,5,5,5,5,11,163,0,pink
2039,46,0,41,17,70,619,0,pink
2040,59,5,58,27,92,788,0,pink
2041,60,5,64,25,100,906,0,pink
2042,61,5,85,27,120,1150,0,pink
2043,88,12,194,27,266,3638,1,purple
2044,5,5,5,5,5,53,0,pink
2045,0,0,5,0,5,94,0,pink
2046,0,0,5,0,5,130,0,pink
2047,5,0,5,5,5,175,0,pink
2048,15,5,33,5,44,602,0,pink
2049,21,5,39,5,56,664,0,pink
2050,13,5,56,5,68,864,0,pink
2051,35,5,53,5,83,1056,0,pink
2052,113,28,222,28,334,3826,1,purple
2053,5,0,5,0,5,40,0,pink
2054,0,0,5,0,5,115,0,pink
2055,5,0,5,0,13,165,0,pink
2056,5,5,5,0,12,180,0,pink
2057,15,5,32,5,48,581,0,pink
2058,16,5,46,5,63,735,0,pink
2059,29,5,62,10,87,916,0,pink
2060,44,11,60,11,104,1094,0,pink
2061,178,11,226,55,360,3731,1,purple
2062,5,0,0,0,5,51,0,pink
2063,5,0,5,5,5,115,0,pink
2064,5,0,5,5,5,156,0,pink
2065,5,5,5,5,10,199,0,pink
2066,25,5,34,5,52,598,0,pink
2067,30,5,56,10,78,706,0,pink
2068,41,5,68,15,98,848,0,pink
2069,72,5,54,19,110,1058,0,pink
2070,194,5,209,65,339,3772,1,purple
2071,5,0,0,0,5,42,0,pink
2072,5,0,5,5,5,126,0,pink
2073,5,0,5,5,5,156,0,pink
2074,5,0,5,5,10,202,0,pink
2075,20,0,32,5,44,573,0,pink
2076,40,0,37,14,63,726,0,pink
2077,45,5,61,16,91,894,0,pink
2078,80,0,64,23,121,1053,0,pink
2079,135,0,208,45,298,3610,1,purple
2080,0,0,0,0,0,54,0,pink
2081,5,0,5,0,5,99,0,pink
2082,5,0,5,0,5,152,0,pink
2083,5,0,5,5,11,173,0,pink
2084,15,0,31,5,42,572,0,pink
2085,33,0,57,11,79,733,0,pink
2086,30,0,52,15,67,873,0,pink
2087,50,0,58,14,94,954,0,pink
2088,143,5,207,43,309,3682,1,purple
2089,5,5,0,0,5,40,0,pink
2090,5,0,5,0,5,111,0,pink
2091,5,0,5,0,5,150,0,pink
2092,5,0,5,5,11,156,0,pink
2093,18,0,32,5,47,576,0,pink
2094,25,0,53,5,72,742,0,pink
2095,43,5,61,20,85,907,0,pink
2096,47,0,50,13,84,1000,0,pink
2097,131,5,215,44,303,3809,1,purple
2098,0,0,5,0,5,59,0,pink
2099,5,0,5,5,5,110,0,pink
2100,0,0,5,0,5,141,0,pink
2101,5,0,5,5,11,196,0,pink
2102,12,0,25,5,35,543,0,pink
2103,26,0,44,11,59,780,0,pink
2104,32,0,61,11,82,875,0,pink
2105,56,5,65,18,104,1105,0,pink
2106,240,30,276,85,460,4040,1,purple
2107,5,5,5,0,5,63,0,pink
2108,5,0,5,0,5,96,0,pink
2109,5,0,5,5,11,181,0,pink
2110,5,5,5,5,15,160,0,pink
2111,26,5,37,10,62,607,0,pink
2112,43,5,57,19,86,815,0,pink
2113,65,5,65,26,107,973,0,pink
2114,92,10,97,28,170,1145,0,pink
2115,235,67,308,81,524,4453,1,purple
2116,5,5,5,0,5,62,0,pink
2117,5,5,5,5,5,126,0,pink
2118,5,5,5,5,5,162,0,pink
2119,5,5,5,5,14,205,0,pink
2120,17,13,47,5,69,658,0,pink
2121,49,14,72,16,118,900,0,pink
2122,70,13,90,26,147,1123,0,pink
2123,85,19,82,28,155,1217,0,pink
2124,179,44,292,65,450,4098,1,purple
2125,0,0,5,0,5,34,0,pink
2126,5,5,5,5,5,99,0,pink
2127,5,5,5,5,5,129,0,pink
2128,5,5,5,0,12,159,0,pink
2129,5,5,31,5,46,579,0,pink
2130,38,12,65,18,97,804,0,pink
2131,57,10,86,18,135,1042,0,pink
2132,70,5,92,24,147,1252,0,pink
2133,91,5,203,40,258,3578,1,purple
2134,0,0,5,0,5,35,0,pink
2135,0,0,5,0,5,72,0,pink
2136,5,0,5,0,5,116,0,pink
2137,5,0,5,5,10,160,0,pink
2138,10,0,32,5,38,510,0,pink
2139,13,5,48,5,57,724,0,pink
2140,37,5,60,17,81,887,0,pink
2141,27,5,47,12,63,1074,0,pink
2142,105,5,196,48,257,3836,1,purple
2143,0,0,5,0,5,57,0,pink
2144,0,0,0,0,0,85,0,pink
2145,5,5,5,0,5,114,0,pink
2146,5,0,5,0,5,158,0,pink
2147,10,5,27,5,34,587,0,pink
2148,17,0,37,5,48,756,0,pink
2149,30,5,63,13,81,952,0,pink
2150,45,5,66,25,87,1127,0,pink
2151,68,5,134,21,183,2665,0,pink
2152,0,0,5,0,5,23,0,pink
2153,0,0,0,0,0,58,0,pink
2154,0,0,5,0,5,95,0,pink
2155,0,0,5,0,5,99,0,pink
2156,5,0,14,0,17,380,0,pink
2157,13,5,34,5,42,520,0,pink
2158,25,5,43,11,58,669,0,pink
2159,27,0,38,5,61,821,0,pink
2160,0,30,173,0,203,2862,0,pink
2161,0,0,5,0,5,24,0,pink
2162,0,5,0,0,5,39,0,pink
2163,0,0,5,0,5,86,0,pink
2164,0,5,5,0,5,83,0,pink
2165,0,5,26,0,34,395,0,pink
2166,0,5,30,0,36,467,0,pink
2167,0,5,34,0,43,675,0,pink
2168,0,5,73,0,78,1093,0,pink
2169,0,39,174,0,213,2677,0,pink
2170,0,5,0,0,5,19,0,pink
2171,0,5,0,0,5,32,0,pink
2172,0,0,5,0,5,66,0,pink
2173,0,5,5,0,5,92,0,pink
2174,0,5,15,0,23,348,0,pink
2175,0,5,36,0,41,454,0,pink
2176,0,11,41,0,52,616,0,pink
2177,0,11,77,0,88,1050,0,pink
2178,126,15,205,30,316,3001,0,pink
2179,5,0,0,0,5,27,0,pink
2180,0,0,0,0,0,42,0,pink
2181,5,0,0,0,5,67,0,pink
2182,5,0,5,0,5,89,0,pink
2183,10,5,23,5,33,413,0,pink
2184,19,5,29,5,47,480,0,pink
2185,34,5,65,11,92,725,0,pink
2186,55,5,86,12,134,1158,0,pink
2187,2457,5,683,505,2640,5370,1,purple
2188,0,0,0,0,0,13,0,pink
2189,5,0,5,5,5,51,0,pink
2190,16,0,5,5,17,80,0,pink
2191,29,0,5,5,34,111,0,pink
2192,236,5,69,48,258,683,0,pink
2193,421,5,132,92,461,890,0,pink
2194,645,5,180,139,688,1290,0,pink
2195,1105,5,292,223,1176,2252,0,pink
2196,1535,5,476,350,1661,4026,1,purple
2197,0,0,0,0,0,12,0,pink
2198,5,0,5,0,5,40,0,pink
2199,5,0,5,0,5,68,0,pink
2200,21,0,5,5,23,104,0,pink
2201,141,0,54,35,160,530,0,pink
2202,274,5,101,80,295,661,0,pink
2203,390,0,123,94,419,977,0,pink
2204,706,0,187,134,759,1634,0,pink
2205,285,0,157,57,385,2620,0,pink
2206,0,0,0,0,0,18,0,pink
2207,0,0,5,0,5,48,0,pink
2208,5,0,5,0,5,74,0,pink
2209,5,0,5,0,5,96,0,pink
2210,25,0,17,5,33,394,0,pink
2211,44,0,26,5,62,453,0,pink
2212,89,0,51,20,120,634,0,pink
2213,122,0,58,20,160,903,0,pink
2214,77,0,98,12,163,2554,0,pink
2215,0,0,0,0,0,21,0,pink
2216,0,0,0,0,0,62,0,pink
2217,0,0,5,0,5,77,0,pink
2218,5,0,5,0,5,110,0,pink
2219,14,0,16,5,27,443,0,pink
2220,5,0,19,5,27,425,0,pink
2221,17,0,24,5,37,508,0,pink
2222,36,0,36,5,68,908,0,pink
2223,30,0,102,5,125,2513,0,pink
2224,0,0,0,0,0,20,0,pink
2225,0,0,0,0,0,48,0,pink
2226,0,0,0,0,0,69,0,pink
2227,5,0,5,0,5,94,0,pink
2228,5,0,11,5,14,408,0,pink
2229,5,0,33,5,37,434,0,pink
2230,5,0,23,5,30,585,0,pink
2231,10,0,33,5,41,855,0,pink
2232,43,0,121,11,153,2579,0,pink
2233,0,0,0,0,0,18,0,pink
2234,0,0,0,0,0,43,0,pink
2235,0,0,5,0,5,77,0,pink
2236,5,0,5,0,5,87,0,pink
2237,5,0,14,0,21,391,0,pink
2238,5,0,18,5,23,415,0,pink
2239,14,0,33,5,43,598,0,pink
2240,13,0,54,5,63,950,0,pink
2241,147,0,154,41,260,2837,0,pink
2242,0,0,0,0,0,21,0,pink
2243,0,0,0,0,0,42,0,pink
2244,5,0,0,0,5,63,0,pink
2245,0,0,5,0,5,112,0,pink
2246,16,0,22,5,32,421,0,pink
2247,26,0,30,5,47,480,0,pink
2248,34,0,35,10,59,637,0,pink
2249,70,0,63,16,117,1061,0,pink
2250,499,0,300,176,623,3172,0,pink
2251,0,0,5,0,5,25,0,pink
2252,5,0,0,0,5,32,0,pink
2253,5,0,0,0,5,82,0,pink
2254,5,0,5,5,15,110,0,pink
2255,57,0,36,24,69,411,0,pink
2256,78,0,56,33,101,523,0,pink
2257,124,0,76,49,151,763,0,pink
2258,227,0,121,68,280,1226,0,pink
2259,1099,0,538,402,1235,3895,1,purple
2260,0,0,0,0,0,21,0,pink
2261,5,0,5,5,5,44,0,pink
2262,5,0,5,0,5,69,0,pink
2263,16,0,5,5,20,104,0,pink
2264,124,0,58,43,139,560,0,pink
2265,196,0,120,91,225,659,0,pink
2266,299,0,142,116,325,945,0,pink
2267,458,0,206,146,518,1493,0,pink
2268,1030,0,506,391,1145,3794,1,purple
2269,5,0,0,0,5,20,0,pink
2270,0,0,0,0,0,36,0,pink
2271,5,0,5,0,5,84,0,pink
2272,16,0,5,5,17,104,0,pink
2273,113,0,69,52,130,539,0,pink
2274,164,0,91,67,188,619,0,pink
2275,282,0,152,118,316,908,0,pink
2276,448,0,186,149,485,1484,0,pink
2277,480,0,313,207,586,2850,0,pink
2278,0,0,0,0,0,16,0,pink
2279,5,0,0,0,5,35,0,pink
2280,5,0,5,5,5,51,0,pink
2281,12,0,5,5,13,100,0,pink
2282,71,0,52,40,83,422,0,pink
2283,90,0,56,45,101,474,0,pink
2284,128,0,86,52,162,705,0,pink
2285,174,0,110,63,221,1047,0,pink
2286,247,0,207,103,351,2873,0,pink
2287,5,0,0,0,5,22,0,pink
2288,0,0,0,0,0,44,0,pink
2289,5,0,0,0,5,70,0,pink
2290,5,0,5,5,11,109,0,pink
2291,49,0,32,20,61,444,0,pink
2292,66,0,49,30,85,514,0,pink
2293,62,0,55,27,90,679,0,pink
2294,59,0,67,24,102,991,0,pink
2295,193,0,175,81,287,2584,0,pink
2296,0,0,5,0,5,27,0,pink
2297,5,0,0,0,5,31,0,pink
2298,5,0,5,5,5,67,0,pink
2299,12,0,5,5,14,94,0,pink
2300,43,0,31,20,54,422,0,pink
2301,49,0,39,21,67,461,0,pink
2302,40,0,49,18,71,591,0,pink
2303,46,0,48,17,77,891,0,pink
2304,120,0,148,53,215,2686,0,pink
2305,0,0,0,0,0,17,0,pink
2306,0,0,0,0,0,47,0,pink
2307,5,0,5,5,5,72,0,pink
2308,10,0,5,5,10,114,0,pink
2309,35,0,28,12,51,419,0,pink
2310,33,0,38,18,53,519,0,pink
2311,18,0,26,5,36,608,0,pink
2312,21,0,52,11,62,890,0,pink
2313,24,0,121,13,132,2508,0,pink
2314,0,0,0,0,0,22,0,pink
2315,0,0,5,0,5,42,0,pink
2316,0,0,5,0,5,71,0,pink
2317,5,0,5,5,5,77,0,pink
2318,5,0,15,5,19,423,0,pink
2319,5,0,18,5,19,449,0,pink
2320,5,0,39,5,42,554,0,pink
2321,5,0,43,5,46,870,0,pink
2322,22,0,104,5,118,2638,0,pink
2323,0,0,5,0,5,19,0,pink
2324,0,0,5,0,5,55,0,pink
2325,5,0,5,0,5,82,0,pink
2326,5,0,0,0,5,108,0,pink
2327,5,0,15,5,19,422,0,pink
2328,5,0,24,5,27,446,0,pink
2329,5,0,24,5,27,610,0,pink
2330,5,0,38,0,40,896,0,pink
2331,123,0,200,63,260,2791,0,pink
2332,0,0,0,0,0,22,0,pink
2333,5,0,5,5,5,49,0,pink
2334,5,0,5,0,5,75,0,pink
2335,5,0,5,5,11,100,0,pink
2336,30,0,35,19,46,452,0,pink
2337,12,0,31,5,38,416,0,pink
2338,28,0,57,11,74,666,0,pink
2339,42,0,64,21,85,1011,0,pink
2340,185,0,220,105,300,2801,0,pink
2341,5,0,5,5,5,24,0,pink
2342,5,0,5,5,5,47,0,pink
2343,5,0,5,5,5,82,0,pink
2344,11,0,5,5,12,94,0,pink
2345,38,0,34,20,52,447,0,pink
2346,34,0,41,21,54,476,0,pink
2347,52,0,63,30,85,653,0,pink
2348,43,0,69,24,88,978,0,pink
2349,154,0,226,72,308,2894,0,pink
2350,0,0,0,0,0,20,0,pink
2351,5,0,0,0,5,38,0,pink
2352,5,0,10,5,12,81,0,pink
2353,10,0,5,5,11,99,0,pink
2354,24,0,27,14,37,445,0,pink
2355,35,0,50,17,68,503,0,pink
2356,36,0,58,13,81,697,0,pink
2357,39,0,74,17,96,1011,0,pink
2358,173,5,228,72,329,2994,0,pink
2359,5,0,5,0,5,30,0,pink
2360,5,0,5,0,5,42,0,pink
2361,5,0,5,5,5,62,0,pink
2362,11,0,5,5,15,110,0,pink
2363,37,5,35,15,57,453,0,pink
2364,27,0,37,13,51,533,0,pink
2365,42,0,71,19,94,764,0,pink
2366,48,0,75,22,101,1000,0,pink
2367,402,5,350,203,551,3340,1,purple
2368,5,0,5,0,5,18,0,pink
2369,5,0,5,5,5,44,0,pink
2370,19,0,5,5,20,88,0,pink
2371,24,0,10,5,26,110,0,pink
2372,87,0,65,47,105,529,0,pink
2373,83,0,78,48,113,570,0,pink
2374,89,5,86,52,123,813,0,pink
2375,94,5,99,39,156,1168,0,pink
2376,1030,5,619,469,1184,4017,1,purple
2377,0,0,0,0,0,22,0,pink
2378,5,0,5,5,5,40,0,pink
2379,22,0,5,5,23,95,0,pink
2380,20,0,12,5,23,110,0,pink
2381,198,0,117,101,214,588,0,pink
2382,204,5,127,99,235,717,0,pink
2383,247,0,158,103,302,984,0,pink
2384,334,5,194,147,382,1461,0,pink
2385,380,0,283,157,506,2961,0,pink
2386,5,0,0,0,5,21,0,pink
2387,0,0,0,0,0,33,0,pink
2388,5,0,5,5,5,79,0,pink
2389,11,0,11,5,15,101,0,pink
2390,77,0,54,38,93,417,0,pink
2391,78,0,50,28,100,538,0,pink
2392,91,0,75,43,123,703,0,pink
2393,116,0,90,39,167,1069,0,pink
2394,68,5,162,30,202,2776,0,pink
2395,0,0,0,0,0,22,0,pink
2396,0,0,0,0,0,55,0,pink
2397,5,0,5,0,5,62,0,pink
2398,0,0,5,0,5,87,0,pink
2399,5,0,18,5,23,349,0,pink
2400,15,5,35,5,45,522,0,pink
2401,20,5,43,11,53,693,0,pink
2402,23,0,63,10,76,986,0,pink
2403,72,5,168,18,229,2703,0,pink
2404,5,0,0,0,5,20,0,pink
2405,5,0,0,0,5,42,0,pink
2406,0,0,0,0,0,65,0,pink
2407,0,0,5,0,5,101,0,pink
2408,11,0,22,5,30,348,0,pink
2409,11,5,30,5,41,454,0,pink
2410,22,5,46,5,65,636,0,pink
2411,26,5,67,5,88,1037,0,pink
2412,113,5,223,44,298,2834,0,pink
2413,5,0,5,0,5,26,0,pink
2414,5,0,5,0,5,43,0,pink
2415,5,0,5,0,5,87,0,pink
2416,5,0,5,0,5,95,0,pink
2417,5,0,26,5,32,395,0,pink
2418,26,0,42,13,55,485,0,pink
2419,29,5,64,15,81,648,0,pink
2420,44,5,87,14,120,1055,0,pink
2421,102,5,176,27,254,2599,0,pink
2422,5,5,0,0,5,31,0,pink
2423,0,0,0,0,0,38,0,pink
2424,5,0,5,5,5,65,0,pink
2425,5,5,5,0,5,78,0,pink
2426,5,0,23,5,29,379,0,pink
2427,10,0,40,5,47,450,0,pink
2428,26,5,48,5,68,639,0,pink
2429,53,5,62,14,101,919,0,pink
2430,90,5,161,14,237,2705,0,pink
2431,5,0,0,0,5,28,0,pink
2432,5,0,5,0,5,33,0,pink
2433,5,0,5,0,5,90,0,pink
2434,5,0,5,0,5,102,0,pink
2435,10,0,20,0,30,418,0,pink
2436,10,5,20,5,28,463,0,pink
2437,22,0,44,5,62,633,0,pink
2438,41,0,73,5,106,938,0,pink
2439,112,0,177,32,257,2604,0,pink
2440,5,0,5,5,5,23,0,pink
2441,0,0,0,0,0,44,0,pink
2442,0,0,5,0,5,61,0,pink
2443,5,0,5,0,5,68,0,pink
2444,5,0,11,5,18,380,0,pink
2445,18,0,37,5,51,465,0,pink
2446,28,0,43,5,65,634,0,pink
2447,56,0,79,20,115,929,0,pink
2448,123,0,193,37,279,2571,0,pink
2449,0,0,0,0,0,12,0,pink
2450,0,0,0,0,0,33,0,pink
2451,0,0,5,0,5,60,0,pink
2452,0,0,5,0,5,90,0,pink
2453,12,0,23,5,33,378,0,pink
2454,25,0,36,5,53,443,0,pink
2455,31,0,51,5,73,619,0,pink
2456,55,0,80,18,117,936,0,pink
2457,163,0,206,45,324,2897,0,pink
2458,5,0,5,0,5,23,0,pink
2459,0,0,0,0,0,43,0,pink
2460,5,0,0,0,5,64,0,pink
2461,5,0,5,0,5,127,0,pink
2462,10,0,21,5,28,383,0,pink
2463,23,0,37,5,55,471,0,pink
2464,45,0,59,15,89,693,0,pink
2465,80,0,83,22,141,1093,0,pink
2466,115,5,220,29,311,2928,0,pink
2467,0,0,5,0,5,21,0,pink
2468,0,0,5,0,5,39,0,pink
2469,0,0,0,0,0,77,0,pink
2470,5,5,0,0,5,97,0,pink
2471,15,0,29,5,40,422,0,pink
2472,10,5,35,5,46,497,0,pink
2473,38,5,56,5,85,711,0,pink
2474,47,5,98,15,131,1064,0,pink
2475,207,55,285,44,501,3334,1,purple
2476,0,5,0,0,5,20,0,pink
2477,5,5,5,5,5,38,0,pink
2478,5,5,5,0,5,64,0,pink
2479,5,5,5,5,5,73,0,pink
2480,15,5,34,5,55,480,0,pink
2481,31,5,45,5,76,543,0,pink
2482,58,17,85,11,148,858,0,pink
2483,94,18,113,23,201,1258,0,pink
2484,199,26,253,55,421,3136,0,pink
2485,0,0,0,0,0,18,0,pink
2486,5,0,0,0,5,35,0,pink
2487,5,0,5,0,5,71,0,pink
2488,5,0,5,0,5,85,0,pink
2489,18,5,24,5,45,407,0,pink
2490,32,5,56,11,80,515,0,pink
2491,50,5,70,12,113,800,0,pink
2492,96,12,101,31,178,1205,0,pink
2493,110,5,226,42,296,2696,0,pink
2494,0,0,0,0,0,14,0,pink
2495,5,0,5,5,5,25,0,pink
2496,0,0,5,0,5,65,0,pink
2497,5,0,5,0,5,82,0,pink
2498,5,0,18,5,24,390,0,pink
2499,14,5,43,5,52,475,0,pink
2500,38,5,68,16,91,665,0,pink
2501,48,0,91,17,122,980,0,pink
2502,66,5,216,22,261,2729,0,pink
2503,0,5,0,0,5,17,0,pink
2504,0,0,5,0,5,23,0,pink
2505,0,0,5,0,5,62,0,pink
2506,0,0,5,0,5,89,0,pink
2507,5,0,22,0,26,369,0,pink
2508,5,0,40,5,46,451,0,pink
2509,18,0,66,5,76,664,0,pink
2510,36,0,82,12,106,1054,0,pink
2511,25,5,147,12,163,1853,0,pink
2512,0,0,0,0,0,11,0,pink
2513,0,0,0,0,0,19,0,pink
2514,0,0,0,0,0,43,0,pink
2515,0,5,5,0,5,56,0,pink
2516,5,0,10,0,12,226,0,pink
2517,5,0,24,5,25,321,0,pink
2518,5,0,48,5,49,484,0,pink
2519,14,5,64,5,75,693,0,pink
2520,0,5,45,0,52,854,0,pink
2521,0,0,0,0,0,12,0,pink
2522,0,5,0,0,5,16,0,pink
2523,0,0,0,0,0,25,0,pink
2524,0,5,5,0,5,32,0,pink
2525,0,0,10,0,10,115,0,pink
2526,0,5,10,0,12,180,0,pink
2527,0,0,10,0,10,212,0,pink
2528,0,5,13,0,15,262,0,pink
2529,0,5,36,0,42,773,0,pink
2530,0,0,0,0,0,12,0,pink
2531,0,0,0,0,0,10,0,pink
2532,0,0,0,0,0,26,0,pink
2533,0,0,0,0,0,27,0,pink
2534,0,0,10,0,10,127,0,pink
2535,0,5,5,0,5,147,0,pink
2536,0,5,5,0,5,183,0,pink
2537,0,5,14,0,16,241,0,pink
2538,5,10,61,5,76,885,0,pink
2539,0,0,5,0,5,5,0,pink
2540,0,0,0,0,0,10,0,pink
2541,0,5,5,0,5,18,0,pink
2542,0,0,5,0,5,36,0,pink
2543,0,5,5,0,5,131,0,pink
2544,5,5,15,0,18,175,0,pink
2545,5,5,19,5,24,227,0,pink
2546,5,5,17,5,22,279,0,pink
2547,189,5,129,81,238,1031,0,pink
2548,0,0,5,0,5,5,0,pink
2549,5,0,0,0,5,5,0,pink
2550,5,0,5,5,5,32,0,pink
2551,5,0,5,5,5,39,0,pink
2552,28,5,23,17,35,147,0,pink
2553,41,0,30,18,53,219,0,pink
2554,52,0,31,23,60,267,0,pink
2555,59,0,40,19,80,313,0,pink
2556,276,0,134,97,313,1102,0,pink
2557,0,0,0,0,0,10,0,pink
2558,5,0,5,5,5,23,0,pink
2559,5,0,5,5,5,30,0,pink
2560,5,0,5,5,5,36,0,pink
2561,39,0,20,17,42,177,0,pink
2562,58,0,36,24,70,210,0,pink
2563,61,0,22,16,67,255,0,pink
2564,108,0,51,35,124,361,0,pink
2565,73,0,62,32,103,802,0,pink
2566,0,0,5,0,5,5,0,pink
2567,0,0,0,0,0,17,0,pink
2568,5,0,5,5,5,29,0,pink
2569,5,0,0,0,5,33,0,pink
2570,5,0,5,5,10,129,0,pink
2571,15,0,17,10,22,169,0,pink
2572,25,0,19,11,33,172,0,pink
2573,24,0,14,5,33,246,0,pink
2574,35,0,46,20,61,872,0,pink
2575,0,0,0,0,0,12,0,pink
2576,5,0,5,5,5,24,0,pink
2577,0,0,5,0,5,35,0,pink
2578,5,0,5,0,5,32,0,pink
2579,5,0,5,5,5,128,0,pink
2580,12,0,15,5,21,166,0,pink
2581,11,0,15,5,19,244,0,pink
2582,5,0,5,5,10,231,0,pink
2583,20,0,41,5,55,848,0,pink
2584,0,0,0,0,0,5,0,pink
2585,0,0,5,0,5,15,0,pink
2586,0,0,5,0,5,28,0,pink
2587,5,0,0,0,5,29,0,pink
2588,5,0,5,5,11,146,0,pink
2589,5,0,12,5,13,187,0,pink
2590,5,0,13,5,15,208,0,pink
2591,5,0,5,5,12,226,0,pink
2592,31,0,46,13,64,828,0,pink
2593,0,0,0,0,0,10,0,pink
2594,0,0,0,0,0,18,0,pink
2595,0,0,0,0,0,21,0,pink
2596,5,0,0,0,5,27,0,pink
2597,5,0,5,5,5,134,0,pink
2598,10,0,15,5,20,171,0,pink
2599,5,0,18,5,22,213,0,pink
2600,5,0,5,5,12,234,0,pink
2601,83,0,65,36,112,907,0,pink
2602,0,0,0,0,0,5,0,pink
2603,0,0,0,0,0,14,0,pink
2604,0,0,0,0,0,19,0,pink
2605,5,0,5,5,5,28,0,pink
2606,13,0,13,5,18,139,0,pink
2607,11,0,5,5,14,183,0,pink
2608,38,0,30,16,52,254,0,pink
2609,20,0,12,5,25,263,0,pink
2610,95,0,78,50,123,854,0,pink
2611,5,0,0,0,5,5,0,pink
2612,0,0,0,0,0,17,0,pink
2613,0,0,0,0,0,19,0,pink
2614,5,0,5,5,5,27,0,pink
2615,14,0,11,5,17,122,0,pink
2616,17,0,18,5,26,178,0,pink
2617,35,0,30,21,44,214,0,pink
2618,26,0,18,11,33,270,0,pink
2619,285,5,172,120,338,1234,0,pink
2620,5,0,5,0,5,14,0,pink
2621,0,0,0,0,0,21,0,pink
2622,5,0,0,0,5,13,0,pink
2623,5,0,5,5,5,24,0,pink
2624,35,5,27,15,48,202,0,pink
2625,51,0,41,29,63,244,0,pink
2626,74,0,53,36,91,333,0,pink
2627,120,0,48,39,129,383,0,pink
2628,325,5,204,163,366,1221,0,pink
2629,5,0,0,0,5,5,0,pink
2630,5,0,5,5,5,16,0,pink
2631,5,0,5,5,5,28,0,pink
2632,5,0,5,5,5,34,0,pink
2633,42,0,34,25,51,191,0,pink
2634,62,0,50,40,72,275,0,pink
2635,97,0,60,50,107,317,0,pink
2636,114,5,55,44,125,351,0,pink
2637,147,0,107,74,180,910,0,pink
2638,5,0,5,5,5,5,0,pink
2639,0,0,5,0,5,10,0,pink
2640,0,0,0,0,0,21,0,pink
2641,5,0,5,5,5,38,0,pink
2642,16,0,11,5,20,145,0,pink
2643,32,0,28,21,39,179,0,pink
2644,52,0,38,27,63,247,0,pink
2645,44,0,26,17,53,262,0,pink
2646,69,0,71,33,107,922,0,pink
2647,0,0,0,0,0,5,0,pink
2648,0,0,0,0,0,17,0,pink
2649,5,0,5,0,5,32,0,pink
2650,5,0,5,5,5,38,0,pink
2651,11,0,5,5,15,150,0,pink
2652,19,0,20,12,27,190,0,pink
2653,26,0,26,12,40,230,0,pink
2654,11,0,12,5,20,258,0,pink
2655,71,0,64,34,101,857,0,pink
2656,0,0,0,0,0,5,0,pink
2657,0,0,0,0,0,16,0,pink
2658,0,0,0,0,0,24,0,pink
2659,5,0,5,5,5,43,0,pink
2660,13,0,14,5,18,153,0,pink
2661,19,0,19,12,26,207,0,pink
2662,19,0,14,5,26,197,0,pink
2663,18,0,13,5,27,208,0,pink
2664,42,0,50,20,72,890,0,pink
2665,5,0,0,0,5,16,0,pink
2666,0,0,0,0,0,17,0,pink
2667,0,0,0,0,0,25,0,pink
2668,5,0,5,0,5,39,0,pink
2669,12,0,11,5,16,154,0,pink
2670,5,0,10,5,13,189,0,pink
2671,5,0,18,5,21,239,0,pink
2672,5,0,10,5,18,211,0,pink
2673,25,0,53,13,65,797,0,pink
2674,0,0,0,0,0,10,0,pink
2675,0,0,0,0,0,19,0,pink
2676,0,0,5,0,5,27,0,pink
2677,5,0,5,0,5,33,0,pink
2678,5,0,11,5,13,146,0,pink
2679,5,0,17,5,18,185,0,pink
2680,5,0,16,5,20,191,0,pink
2681,5,0,5,0,5,186,0,pink
2682,17,0,40,5,50,791,0,pink
2683,0,0,5,0,5,13,0,pink
2684,0,0,0,0,0,25,0,pink
2685,0,0,5,0,5,24,0,pink
2686,5,0,5,5,5,27,0,pink
2687,5,0,5,0,11,135,0,pink
2688,5,0,12,5,15,181,0,pink
2689,5,0,5,5,5,167,0,pink
2690,5,0,10,5,12,219,0,pink
2691,57,0,64,35,86,928,0,pink
2692,0,0,0,0,0,11,0,pink
2693,0,0,0,0,0,15,0,pink
2694,5,0,5,5,5,32,0,pink
2695,5,0,5,5,5,28,0,pink
2696,13,0,13,5,18,168,0,pink
2697,5,0,16,5,19,208,0,pink
2698,16,0,18,11,23,221,0,pink
