deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
21747,347,21520,13192,30410,173159
23653,319,26368,14464,35852,202304
25497,379,30028,15029,40855,247115
27703,425,31890,14031,45972,330851
76000,1328,94407,51778,119894,344984
73,25,147,23,222,6025
551,27,626,328,874,4411
1617,58,1726,1028,2369,8831
4049,70,4074,2709,5480,16884
17394,280,18802,12020,24445,70108
19028,255,22744,13021,28989,79966
18462,304,24362,12710,30402,84504
14826,309,21926,9939,27113,74255
4229,86,3869,1568,6609,59899
43,5,60,,102,1892
64,5,51,15,104,3207
191,5,115,50,262,3966
340,5,231,106,472,4624
1032,15,725,343,1429,13377
840,15,728,308,1272,11745
913,16,974,397,1504,11063
806,13,985,340,1464,10025
28,0,26,12,42,346
5,0,0,0,5,5
0,0,0,0,0,17
5,0,5,,5,24
5,0,5,,5,24
5,0,5,,10,84
5,0,5,,5,69
5,0,5,,5,57
5,0,5,,5,62
12224,173,8965,3342,18014,404991
29,5,26,,51,1304
139,5,77,28,191,5826
401,5,178,78,507,9495
749,13,302,145,919,14614
2264,40,1100,456,2948,61677
2049,36,1455,536,3002,77929
2519,32,2154,778,3926,97538
4074,41,3673,1315,6470,136608
442,5,520,170,795,13955
0,0,0,0,0,14
5,0,0,0,5,27
5,0,5,,5,100
5,0,5,,5,237
37,0,45,14,68,1587
59,5,91,27,125,2432
115,0,147,41,221,3801
224,5,230,86,369,5757
9614,66,6552,2967,13260,105508
0,0,5,0,5,11
5,0,5,,5,67
10,0,14,,19,261
36,0,39,10,65,826
424,5,390,141,676,7924
1071,5,895,341,1628,15665
2510,20,1648,769,3408,26847
5559,38,3560,1699,7456,53907
4733,48,3402,1522,6659,133408
5,0,5,,5,905
52,0,34,,77,8430
116,5,72,26,163,9217
190,5,144,61,275,8427
591,5,452,217,834,18399
598,5,451,228,827,14494
974,5,735,331,1385,23303
2209,23,1511,649,3093,50233
5,0,5,,5,18
0,0,0,0,0,0
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
5,0,5,,5,5
15135,387,14402,7769,22137,158542
26,5,48,,76,2000
104,10,104,40,177,4150
262,13,272,123,424,5923
619,17,569,320,885,7460
2560,87,2472,1404,3712,25385
3325,78,3422,1908,4914,31386
3933,69,3898,2115,5782,37353
4306,105,3617,1853,6167,44885
8372,211,9435,5785,12223,40295
12,5,23,,37,1062
59,5,54,26,94,715
156,5,177,99,240,1412
412,5,403,270,554,2160
1752,57,1844,1187,2463,8116
2259,50,2593,1603,3298,9909
2255,36,2592,1584,3296,9713
1467,40,1749,1013,2241,7208
354,21,328,140,563,6200
5,5,5,0,13,303
13,5,5,,18,516
18,5,18,,30,500
27,5,17,,39,527
95,5,79,30,146,1333
80,5,69,37,117,1243
70,5,71,31,113,1085
47,5,60,23,87,693
16,0,5,,18,147
5,0,5,,5,5
5,0,0,0,5,11
5,0,0,0,5,5
5,0,0,0,5,17
5,0,5,,5,36
5,0,5,,5,29
5,0,5,,5,22
5,0,5,,5,19
2380,70,1849,689,3608,57840
5,5,12,0,19,402
24,0,29,,46,1452
62,5,45,10,102,2311
140,5,100,31,212,2978
507,21,325,128,725,10519
477,17,344,121,716,12485
510,11,447,164,804,13510
654,12,547,228,984,14183
489,21,759,230,1038,11328
5,0,5,,5,19
0,0,5,0,5,41
5,0,5,,10,143
5,0,16,,21,322
44,5,105,20,133,1695
94,5,170,46,219,2553
151,5,225,77,307,3068
187,5,232,81,345,3487
3192,56,1734,832,4145,31945
0,0,0,0,0,0
0,0,0,0,0,5
5,5,5,,5,23
5,0,5,,5,92
81,5,50,21,111,1210
367,5,201,89,481,3763
