group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
By Month,2020,11,4,Alabama,Total - All Places of Death,65-74 years,197,0,106,52,251,1270
By Month,2020,11,4,Alabama,Total - All Places of Death,75-84 years,228,5,128,75,281,1411
By Month,2020,11,4,Alabama,Total - All Places of Death,85 years and over,186,0,107,53,240,1324
By Month,2020,12,4,Alabama,Total - All Places of Death,All Ages,1749,5,854,581,2026,7025
By Month,2020,12,4,Alabama,Total - All Places of Death,0-17 years,0,0,0,0,0,49
By Month,2020,12,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5,5,127
By Month,2020,12,4,Alabama,Total - All Places of Death,30-39 years,12,0,5,5,13,139
By Month,2020,12,4,Alabama,Total - All Places of Death,40-49 years,60,0,25,16,69,321
By Month,2020,12,4,Alabama,Total - All Places of Death,50-64 years,265,5,124,82,308,1177
By Month,2020,12,4,Alabama,Total - All Places of Death,65-74 years,431,5,228,145,515,1593
By Month,2020,12,4,Alabama,Total - All Places of Death,75-84 years,528,5,270,193,607,1868
By Month,2020,12,4,Alabama,Total - All Places of Death,85 years and over,449,0,200,141,508,1751
By Month,2021,1,4,Alabama,Total - All Places of Death,All Ages,2415,5,1164,891,2692,7821
By Month,2021,1,4,Alabama,Total - All Places of Death,0-17 years,5,0,5,0,5,59
By Month,2021,1,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5,5,126
By Month,2021,1,4,Alabama,Total - All Places of Death,30-39 years,26,0,12,5,30,167
By Month,2021,1,4,Alabama,Total - All Places of Death,40-49 years,61,0,33,23,71,315
By Month,2021,1,4,Alabama,Total - All Places of Death,50-64 years,429,5,199,149,481,1448
By Month,2021,1,4,Alabama,Total - All Places of Death,65-74 years,628,5,319,249,700,1793
By Month,2021,1,4,Alabama,Total - All Places of Death,75-84 years,734,5,363,289,808,2041
By Month,2021,1,4,Alabama,Total - All Places of Death,85 years and over,533,5,233,172,594,1872
By Month,2021,2,4,Alabama,Total - All Places of Death,All Ages,970,5,560,345,1189,5554
By Month,2021,2,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,52
By Month,2021,2,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5,5,98
By Month,2021,2,4,Alabama,Total - All Places of Death,30-39 years,10,0,5,5,13,146
By Month,2021,2,4,Alabama,Total - All Places of Death,40-49 years,28,0,20,10,38,226
By Month,2021,2,4,Alabama,Total - All Places of Death,50-64 years,187,5,114,71,231,1041
By Month,2021,2,4,Alabama,Total - All Places of Death,65-74 years,300,0,161,106,355,1278
By Month,2021,2,4,Alabama,Total - All Places of Death,75-84 years,288,5,160,105,345,1470
By Month,2021,2,4,Alabama,Total - All Places of Death,85 years and over,153,5,97,49,202,1243
By Month,2021,3,4,Alabama,Total - All Places of Death,All Ages,393,5,364,143,615,5076
By Month,2021,3,4,Alabama,Total - All Places of Death,0-17 years,0,0,0,0,0,75
By Month,2021,3,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,0,5,99
By Month,2021,3,4,Alabama,Total - All Places of Death,30-39 years,5,0,5,5,5,148
By Month,2021,3,4,Alabama,Total - All Places of Death,40-49 years,15,0,12,5,23,241
By Month,2021,3,4,Alabama,Total - All Places of Death,50-64 years,78,5,67,37,108,982
By Month,2021,3,4,Alabama,Total - All Places of Death,65-74 years,117,5,108,43,183,1132
By Month,2021,3,4,Alabama,Total - All Places of Death,75-84 years,113,0,107,39,181,1314
By Month,2021,3,4,Alabama,Total - All Places of Death,85 years and over,60,0,64,18,106,1085
By Month,2021,4,4,Alabama,Total - All Places of Death,All Ages,216,5,287,72,432,4972
By Month,2021,4,4,Alabama,Total - All Places of Death,0-17 years,0,0,5,0,5,64
By Month,2021,4,4,Alabama,Total - All Places of Death,18-29 years,5,0,5,5,5,121
