group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
By Month,2020,11,10,Alaska,Total - All Places of Death,75-84 years,16,0,14,12,18,120
By Month,2020,11,10,Alaska,Total - All Places of Death,85 years and over,21,0,17,12,26,101
By Month,2020,12,10,Alaska,Total - All Places of Death,65-74 years,31,0,18,15,34,114
By Month,2020,12,10,Alaska,Total - All Places of Death,75-84 years,32,0,23,21,34,117
By Month,2020,12,10,Alaska,Total - All Places of Death,85 years and over,20,0,14,10,24,96
By Month,2021,1,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,10,96
By Month,2021,1,10,Alaska,Total - All Places of Death,75-84 years,10,0,5,5,15,95
By Month,2021,1,10,Alaska,Total - All Places of Death,85 years and over,14,0,5,5,16,100
By Month,2021,2,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,11,91
By Month,2021,2,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,5,84
By Month,2021,2,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,5,56
By Month,2021,3,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,10,90
By Month,2021,3,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,5,86
By Month,2021,3,10,Alaska,Total - All Places of Death,85 years and over,5,0,0,0,5,79
By Month,2021,4,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,5,92
By Month,2021,4,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,5,77
By Month,2021,4,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,5,68
By Month,2021,5,10,Alaska,Total - All Places of Death,65-74 years,10,0,10,5,12,92
By Month,2021,5,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,5,84
By Month,2021,5,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,5,73
By Month,2021,6,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,5,96
By Month,2021,6,10,Alaska,Total - All Places of Death,75-84 years,0,0,5,0,5,74
By Month,2021,6,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,5,81
By Month,2021,7,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,5,116
By Month,2021,7,10,Alaska,Total - All Places of Death,75-84 years,5,0,10,5,11,97
By Month,2021,7,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,5,69
By Month,2021,8,10,Alaska,Total - All Places of Death,65-74 years,25,0,12,12,25,128
By Month,2021,8,10,Alaska,Total - All Places of Death,75-84 years,23,0,21,17,27,130
By Month,2021,8,10,Alaska,Total - All Places of Death,85 years and over,13,0,10,5,15,91
By Month,2021,9,10,Alaska,Total - All Places of Death,65-74 years,52,0,38,36,54,157
By Month,2021,9,10,Alaska,Total - All Places of Death,75-84 years,34,0,33,26,41,137
By Month,2021,9,10,Alaska,Total - All Places of Death,85 years and over,30,0,5,5,31,105
By Month,2021,10,10,Alaska,Total - All Places of Death,65-74 years,53,0,38,35,56,170
By Month,2021,10,10,Alaska,Total - All Places of Death,75-84 years,49,0,33,29,53,145
By Month,2021,10,10,Alaska,Total - All Places of Death,85 years and over,21,0,14,12,23,117
By Month,2021,11,10,Alaska,Total - All Places of Death,65-74 years,33,0,29,25,37,149
By Month,2021,11,10,Alaska,Total - All Places of Death,75-84 years,22,0,16,12,26,111
By Month,2021,11,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,5,90
By Month,2021,12,10,Alaska,Total - All Places of Death,65-74 years,17,0,17,12,22,119
By Month,2021,12,10,Alaska,Total - All Places of Death,75-84 years,5,0,12,5,15,133
By Month,2021,12,10,Alaska,Total - All Places of Death,85 years and over,5,0,11,5,13,89
By Month,2022,1,10,Alaska,Total - All Places of Death,65-74 years,19,5,15,5,28,124
By Month,2022,1,10,Alaska,Total - All Places of Death,75-84 years,21,5,16,12,26,112
By Month,2022,1,10,Alaska,Total - All Places of Death,85 years and over,10,0,5,5,12,88
By Month,2022,2,10,Alaska,Total - All Places of Death,65-74 years,23,0,16,14,25,105
By Month,2022,2,10,Alaska,Total - All Places of Death,75-84 years,17,0,15,12,20,91
By Month,2022,2,10,Alaska,Total - All Places of Death,85 years and over,10,0,5,5,12,77
By Month,2022,3,10,Alaska,Total - All Places of Death,65-74 years,14,0,5,5,15,105
By Month,2022,3,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,11,94
By Month,2022,3,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,5,78
By Month,2022,4,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,5,91
By Month,2022,4,10,Alaska,Total - All Places of Death,75-84 years,5,5,5,5,11,87
By Month,2022,4,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,5,91
By Month,2022,5,10,Alaska,Total - All Places of Death,65-74 years,5,5,5,5,5,106
By Month,2022,5,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,13,106
By Month,2022,5,10,Alaska,Total - All Places of Death,85 years and over,5,5,5,5,5,70
By Month,2022,6,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,5,97
By Month,2022,6,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,11,95
By Month,2022,6,10,Alaska,Total - All Places of Death,85 years and over,5,5,5,5,5,84
By Month,2022,7,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,5,116
By Month,2022,7,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,0,5,95
By Month,2022,7,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,11,82
By Month,2022,8,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,11,108
By Month,2022,8,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,5,96
By Month,2022,8,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,0,5,78
By Month,2022,9,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,5,108
By Month,2022,9,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,5,95
By Month,2022,9,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,10,69
By Month,2022,10,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,0,5,85
By Month,2022,10,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,10,105
By Month,2022,10,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,0,5,84
By Month,2022,11,10,Alaska,Total - All Places of Death,65-74 years,5,5,5,0,5,92
By Month,2022,11,10,Alaska,Total - All Places of Death,75-84 years,5,5,5,0,5,85
By Month,2022,11,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,5,78
By Month,2022,12,10,Alaska,Total - All Places of Death,65-74 years,5,5,5,0,5,123
By Month,2022,12,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,5,137
By Month,2022,12,10,Alaska,Total - All Places of Death,85 years and over,5,5,5,5,5,79
By Month,2023,1,10,Alaska,Total - All Places of Death,65-74 years,5,5,10,5,13,114
By Month,2023,1,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5,5,107
By Month,2023,1,10,Alaska,Total - All Places of Death,85 years and over,5,5,5,5,10,87
By Month,2023,2,10,Alaska,Total - All Places of Death,65-74 years,5,5,5,0,5,76
By Month,2023,2,10,Alaska,Total - All Places of Death,75-84 years,5,0,10,5,14,97
By Month,2023,2,10,Alaska,Total - All Places of Death,85 years and over,5,5,5,5,5,84
By Month,2023,3,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5,5,85
By Month,2023,3,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,0,5,79
By Month,2023,3,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5,5,69
By Month,2023,4,10,Alaska,Total - All Places of Death,65-74 years,0,0,5,0,5,35
By Month,2023,4,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,0,5,35
By Month,2023,4,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,0,5,27
By Month,2020,1,9,Arizona,Total - All Places of Death,65-74 years,0,10,74,0,84,1182
By Month,2020,1,9,Arizona,Total - All Places of Death,75-84 years,0,5,105,0,114,1501
By Month,2020,1,9,Arizona,Total - All Places of Death,85 years and over,0,5,116,0,120,1687
By Month,2020,2,9,Arizona,Total - All Places of Death,65-74 years,0,15,72,0,87,1062
By Month,2020,2,9,Arizona,Total - All Places of Death,75-84 years,0,5,105,0,114,1434
By Month,2020,2,9,Arizona,Total - All Places of Death,85 years and over,0,5,98,0,105,1555
By Month,2020,3,9,Arizona,Total - All Places of Death,65-74 years,14,10,91,5,111,1205
By Month,2020,3,9,Arizona,Total - All Places of Death,75-84 years,17,10,112,10,129,1589
By Month,2020,3,9,Arizona,Total - All Places of Death,85 years and over,5,5,119,5,131,1623
By Month,2020,4,9,Arizona,Total - All Places of Death,65-74 years,76,5,125,41,162,1217
By Month,2020,4,9,Arizona,Total - All Places of Death,75-84 years,114,5,167,52,230,1517
By Month,2020,4,9,Arizona,Total - All Places of Death,85 years and over,139,5,144,59,226,1687
By Month,2020,5,9,Arizona,Total - All Places of Death,65-74 years,90,5,116,49,158,1164
By Month,2020,5,9,Arizona,Total - All Places of Death,75-84 years,131,0,163,72,222,1498
By Month,2020,5,9,Arizona,Total - All Places of Death,85 years and over,157,0,155,83,229,1647
By Month,2020,6,9,Arizona,Total - All Places of Death,65-74 years,183,0,172,109,246,1292
By Month,2020,6,9,Arizona,Total - All Places of Death,75-84 years,237,0,221,140,318,1655
By Month,2020,6,9,Arizona,Total - All Places of Death,85 years and over,202,5,158,96,265,1721
By Month,2020,7,9,Arizona,Total - All Places of Death,65-74 years,505,0,412,326,591,1760
By Month,2020,7,9,Arizona,Total - All Places of Death,75-84 years,545,0,439,339,645,1997
By Month,2020,7,9,Arizona,Total - All Places of Death,85 years and over,438,0,305,226,517,2121
By Month,2020,8,9,Arizona,Total - All Places of Death,65-74 years,244,0,223,155,312,1444
By Month,2020,8,9,Arizona,Total - All Places of Death,75-84 years,235,0,197,143,289,1642
By Month,2020,8,9,Arizona,Total - All Places of Death,85 years and over,173,0,127,73,227,1647
By Month,2020,9,9,Arizona,Total - All Places of Death,65-74 years,65,0,89,42,112,1058
By Month,2020,9,9,Arizona,Total - All Places of Death,75-84 years,71,0,105,36,140,1347
By Month,2020,9,9,Arizona,Total - All Places of Death,85 years and over,50,0,87,24,113,1393
By Month,2020,10,9,Arizona,Total - All Places of Death,65-74 years,74,0,102,44,132,1122
By Month,2020,10,9,Arizona,Total - All Places of Death,75-84 years,67,0,105,32,140,1419
By Month,2020,10,9,Arizona,Total - All Places of Death,85 years and over,57,0,84,22,119,1464
By Month,2020,11,9,Arizona,Total - All Places of Death,65-74 years,193,0,173,108,258,1246
By Month,2020,11,9,Arizona,Total - All Places of Death,75-84 years,256,0,224,143,337,1585
By Month,2020,11,9,Arizona,Total - All Places of Death,85 years and over,205,0,182,108,279,1669
By Month,2020,12,9,Arizona,Total - All Places of Death,65-74 years,699,0,555,460,794,1975
By Month,2020,12,9,Arizona,Total - All Places of Death,75-84 years,907,0,690,580,1017,2495
By Month,2020,12,9,Arizona,Total - All Places of Death,85 years and over,783,0,579,472,890,2579
By Month,2021,1,9,Arizona,Total - All Places of Death,65-74 years,947,5,680,594,1033,2260
By Month,2021,1,9,Arizona,Total - All Places of Death,75-84 years,1250,5,856,757,1349,2814
By Month,2021,1,9,Arizona,Total - All Places of Death,85 years and over,871,5,567,479,960,2606
By Month,2021,2,9,Arizona,Total - All Places of Death,65-74 years,470,0,370,313,527,1531
By Month,2021,2,9,Arizona,Total - All Places of Death,75-84 years,483,0,373,291,565,1774
By Month,2021,2,9,Arizona,Total - All Places of Death,85 years and over,315,0,210,153,372,1568
By Month,2021,3,9,Arizona,Total - All Places of Death,65-74 years,136,0,145,86,195,1286
By Month,2021,3,9,Arizona,Total - All Places of Death,75-84 years,133,0,167,73,227,1672
By Month,2021,3,9,Arizona,Total - All Places of Death,85 years and over,120,0,120,51,189,1588
By Month,2021,4,9,Arizona,Total - All Places of Death,65-74 years,67,0,121,37,151,1209
By Month,2021,4,9,Arizona,Total - All Places of Death,75-84 years,52,0,104,32,124,1376
By Month,2021,4,9,Arizona,Total - All Places of Death,85 years and over,35,0,77,15,97,1337
By Month,2021,5,9,Arizona,Total - All Places of Death,65-74 years,63,0,99,38,124,1202
By Month,2021,5,9,Arizona,Total - All Places of Death,75-84 years,58,0,94,37,115,1394
By Month,2021,5,9,Arizona,Total - All Places of Death,85 years and over,31,0,84,15,100,1463
By Month,2021,6,9,Arizona,Total - All Places of Death,65-74 years,51,0,94,34,111,1227
By Month,2021,6,9,Arizona,Total - All Places of Death,75-84 years,45,0,89,21,113,1412
By Month,2021,6,9,Arizona,Total - All Places of Death,85 years and over,23,0,82,14,91,1357
By Month,2021,7,9,Arizona,Total - All Places of Death,65-74 years,65,0,96,42,119,1217
By Month,2021,7,9,Arizona,Total - All Places of Death,75-84 years,56,0,92,31,117,1360
By Month,2021,7,9,Arizona,Total - All Places of Death,85 years and over,43,0,78,24,97,1416
By Month,2021,8,9,Arizona,Total - All Places of Death,65-74 years,187,0,186,116,257,1443
By Month,2021,8,9,Arizona,Total - All Places of Death,75-84 years,143,0,158,83,218,1575
By Month,2021,8,9,Arizona,Total - All Places of Death,85 years and over,76,0,109,42,143,1613
By Month,2021,9,9,Arizona,Total - All Places of Death,65-74 years,301,0,259,194,366,1426
By Month,2021,9,9,Arizona,Total - All Places of Death,75-84 years,226,0,223,147,302,1719
By Month,2021,9,9,Arizona,Total - All Places of Death,85 years and over,121,5,139,66,195,1604
By Month,2021,10,9,Arizona,Total - All Places of Death,65-74 years,280,5,252,176,357,1421
By Month,2021,10,9,Arizona,Total - All Places of Death,75-84 years,229,0,242,146,325,1718
By Month,2021,10,9,Arizona,Total - All Places of Death,85 years and over,136,0,144,72,208,1672
By Month,2021,11,9,Arizona,Total - All Places of Death,65-74 years,432,0,343,280,495,1609
By Month,2021,11,9,Arizona,Total - All Places of Death,75-84 years,381,0,300,223,458,1955
