group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
By Month,2021,3,8,Montana,Total - All Places of Death,75-84 years,19,0,15,5,28,213
By Month,2021,3,8,Montana,Total - All Places of Death,85 years and over,18,0,16,5,27,262
By Month,2021,4,8,Montana,Total - All Places of Death,65-74 years,5,0,13,5,17,186
By Month,2021,4,8,Montana,Total - All Places of Death,75-84 years,12,0,13,5,19,229
By Month,2021,4,8,Montana,Total - All Places of Death,85 years and over,10,0,5,5,15,239
By Month,2021,5,8,Montana,Total - All Places of Death,65-74 years,5,0,11,5,13,188
By Month,2021,5,8,Montana,Total - All Places of Death,75-84 years,12,0,22,10,24,232
By Month,2021,5,8,Montana,Total - All Places of Death,85 years and over,5,0,14,5,14,264
By Month,2021,6,8,Montana,Total - All Places of Death,65-74 years,5,0,12,5,17,184
By Month,2021,6,8,Montana,Total - All Places of Death,75-84 years,5,0,17,5,19,224
By Month,2021,6,8,Montana,Total - All Places of Death,85 years and over,5,0,18,5,24,261
By Month,2021,7,8,Montana,Total - All Places of Death,65-74 years,11,0,21,5,26,206
By Month,2021,7,8,Montana,Total - All Places of Death,75-84 years,18,0,25,11,32,251
By Month,2021,7,8,Montana,Total - All Places of Death,85 years and over,12,0,11,5,18,288
By Month,2021,8,8,Montana,Total - All Places of Death,65-74 years,34,0,30,23,41,221
By Month,2021,8,8,Montana,Total - All Places of Death,75-84 years,40,0,41,28,53,310
By Month,2021,8,8,Montana,Total - All Places of Death,85 years and over,36,0,26,13,49,310
By Month,2021,9,8,Montana,Total - All Places of Death,65-74 years,88,0,61,53,96,303
By Month,2021,9,8,Montana,Total - All Places of Death,75-84 years,67,0,43,34,76,314
By Month,2021,9,8,Montana,Total - All Places of Death,85 years and over,45,0,33,24,54,311
By Month,2021,10,8,Montana,Total - All Places of Death,65-74 years,119,0,86,77,128,326
By Month,2021,10,8,Montana,Total - All Places of Death,75-84 years,99,0,74,62,111,372
By Month,2021,10,8,Montana,Total - All Places of Death,85 years and over,98,0,52,46,104,374
By Month,2021,11,8,Montana,Total - All Places of Death,65-74 years,91,0,75,63,103,288
By Month,2021,11,8,Montana,Total - All Places of Death,75-84 years,87,0,68,53,102,306
By Month,2021,11,8,Montana,Total - All Places of Death,85 years and over,39,0,36,21,54,299
By Month,2021,12,8,Montana,Total - All Places of Death,65-74 years,33,5,27,19,42,237
By Month,2021,12,8,Montana,Total - All Places of Death,75-84 years,44,5,35,23,57,310
By Month,2021,12,8,Montana,Total - All Places of Death,85 years and over,25,0,26,10,41,301
By Month,2022,1,8,Montana,Total - All Places of Death,65-74 years,44,5,42,28,59,248
By Month,2022,1,8,Montana,Total - All Places of Death,75-84 years,46,0,49,33,62,322
By Month,2022,1,8,Montana,Total - All Places of Death,85 years and over,40,0,38,18,60,337
By Month,2022,2,8,Montana,Total - All Places of Death,65-74 years,43,0,31,25,49,223
By Month,2022,2,8,Montana,Total - All Places of Death,75-84 years,62,5,43,32,75,287
By Month,2022,2,8,Montana,Total - All Places of Death,85 years and over,51,5,33,21,63,301
By Month,2022,3,8,Montana,Total - All Places of Death,65-74 years,21,0,20,12,29,213
By Month,2022,3,8,Montana,Total - All Places of Death,75-84 years,25,5,27,12,41,270
By Month,2022,3,8,Montana,Total - All Places of Death,85 years and over,13,0,13,5,23,273
By Month,2022,4,8,Montana,Total - All Places of Death,65-74 years,5,5,5,5,13,158
By Month,2022,4,8,Montana,Total - All Places of Death,75-84 years,5,5,10,5,16,223
By Month,2022,4,8,Montana,Total - All Places of Death,85 years and over,5,5,13,5,17,233
By Month,2022,5,8,Montana,Total - All Places of Death,65-74 years,5,0,16,5,20,206
By Month,2022,5,8,Montana,Total - All Places of Death,75-84 years,5,5,17,5,20,243
By Month,2022,5,8,Montana,Total - All Places of Death,85 years and over,5,5,20,5,26,297
By Month,2022,6,8,Montana,Total - All Places of Death,65-74 years,5,0,5,5,12,168
By Month,2022,6,8,Montana,Total - All Places of Death,75-84 years,5,5,5,0,13,210
By Month,2022,6,8,Montana,Total - All Places of Death,85 years and over,10,0,10,5,17,225
By Month,2022,7,8,Montana,Total - All Places of Death,65-74 years,11,0,15,5,25,195
By Month,2022,7,8,Montana,Total - All Places of Death,75-84 years,13,0,5,5,20,264
By Month,2022,7,8,Montana,Total - All Places of Death,85 years and over,22,0,16,5,33,303
By Month,2022,8,8,Montana,Total - All Places of Death,65-74 years,5,0,11,5,13,184
By Month,2022,8,8,Montana,Total - All Places of Death,75-84 years,11,0,13,5,21,245
By Month,2022,8,8,Montana,Total - All Places of Death,85 years and over,15,0,16,5,23,273
By Month,2022,9,8,Montana,Total - All Places of Death,65-74 years,5,0,18,5,20,194
By Month,2022,9,8,Montana,Total - All Places of Death,75-84 years,10,0,12,5,19,268
By Month,2022,9,8,Montana,Total - All Places of Death,85 years and over,10,0,5,5,14,259
By Month,2022,10,8,Montana,Total - All Places of Death,65-74 years,5,0,13,5,14,200
By Month,2022,10,8,Montana,Total - All Places of Death,75-84 years,13,0,18,5,28,263
By Month,2022,10,8,Montana,Total - All Places of Death,85 years and over,17,0,5,5,22,247
By Month,2022,11,8,Montana,Total - All Places of Death,65-74 years,5,5,15,5,20,200
By Month,2022,11,8,Montana,Total - All Places of Death,75-84 years,15,5,16,5,26,268
By Month,2022,11,8,Montana,Total - All Places of Death,85 years and over,15,5,14,5,27,278
By Month,2022,12,8,Montana,Total - All Places of Death,65-74 years,5,5,13,5,23,224
By Month,2022,12,8,Montana,Total - All Places of Death,75-84 years,13,5,21,5,34,277
By Month,2022,12,8,Montana,Total - All Places of Death,85 years and over,5,5,16,5,26,284
By Month,2023,1,8,Montana,Total - All Places of Death,65-74 years,10,5,5,5,20,212
By Month,2023,1,8,Montana,Total - All Places of Death,75-84 years,14,5,18,5,34,264
By Month,2023,1,8,Montana,Total - All Places of Death,85 years and over,14,5,26,5,38,309
By Month,2023,2,8,Montana,Total - All Places of Death,65-74 years,5,0,5,5,10,163
By Month,2023,2,8,Montana,Total - All Places of Death,75-84 years,5,5,13,5,20,248
By Month,2023,2,8,Montana,Total - All Places of Death,85 years and over,5,5,12,5,18,268
By Month,2023,3,8,Montana,Total - All Places of Death,65-74 years,5,0,15,5,17,205
By Month,2023,3,8,Montana,Total - All Places of Death,75-84 years,5,0,17,5,21,254
By Month,2023,3,8,Montana,Total - All Places of Death,85 years and over,12,0,18,5,28,311
By Month,2023,4,8,Montana,Total - All Places of Death,65-74 years,5,0,5,5,5,134
By Month,2023,4,8,Montana,Total - All Places of Death,75-84 years,5,0,11,5,13,153
By Month,2023,4,8,Montana,Total - All Places of Death,85 years and over,5,5,13,5,18,181
By Month,2020,1,7,Nebraska,Total - All Places of Death,65-74 years,0,5,15,0,19,285
By Month,2020,1,7,Nebraska,Total - All Places of Death,75-84 years,0,5,31,0,35,356
By Month,2020,1,7,Nebraska,Total - All Places of Death,85 years and over,0,5,63,0,72,585
By Month,2020,2,7,Nebraska,Total - All Places of Death,65-74 years,0,5,17,0,19,256
By Month,2020,2,7,Nebraska,Total - All Places of Death,75-84 years,0,0,26,0,26,335
By Month,2020,2,7,Nebraska,Total - All Places of Death,85 years and over,0,5,44,0,49,487
By Month,2020,3,7,Nebraska,Total - All Places of Death,65-74 years,5,5,23,0,27,290
By Month,2020,3,7,Nebraska,Total - All Places of Death,75-84 years,0,5,30,0,32,367
By Month,2020,3,7,Nebraska,Total - All Places of Death,85 years and over,5,0,41,5,44,511
By Month,2020,4,7,Nebraska,Total - All Places of Death,65-74 years,17,0,21,5,32,271
By Month,2020,4,7,Nebraska,Total - All Places of Death,75-84 years,22,0,32,5,48,354
By Month,2020,4,7,Nebraska,Total - All Places of Death,85 years and over,21,5,42,5,61,499
By Month,2020,5,7,Nebraska,Total - All Places of Death,65-74 years,28,0,20,5,40,306
By Month,2020,5,7,Nebraska,Total - All Places of Death,75-84 years,27,0,29,13,43,378
By Month,2020,5,7,Nebraska,Total - All Places of Death,85 years and over,26,0,43,12,57,511
By Month,2020,6,7,Nebraska,Total - All Places of Death,65-74 years,19,0,22,5,33,284
By Month,2020,6,7,Nebraska,Total - All Places of Death,75-84 years,18,0,17,5,27,321
By Month,2020,6,7,Nebraska,Total - All Places of Death,85 years and over,21,0,28,10,39,468
By Month,2020,7,7,Nebraska,Total - All Places of Death,65-74 years,5,0,21,5,26,287
By Month,2020,7,7,Nebraska,Total - All Places of Death,75-84 years,16,0,25,5,33,345
By Month,2020,7,7,Nebraska,Total - All Places of Death,85 years and over,14,0,40,5,49,478
By Month,2020,8,7,Nebraska,Total - All Places of Death,65-74 years,18,0,23,5,33,292
By Month,2020,8,7,Nebraska,Total - All Places of Death,75-84 years,31,0,31,12,50,386
By Month,2020,8,7,Nebraska,Total - All Places of Death,85 years and over,36,0,44,11,69,538
By Month,2020,9,7,Nebraska,Total - All Places of Death,65-74 years,28,0,27,15,40,281
By Month,2020,9,7,Nebraska,Total - All Places of Death,75-84 years,34,0,41,23,52,381
By Month,2020,9,7,Nebraska,Total - All Places of Death,85 years and over,41,0,33,12,62,507
By Month,2020,10,7,Nebraska,Total - All Places of Death,65-74 years,55,0,33,17,71,375
By Month,2020,10,7,Nebraska,Total - All Places of Death,75-84 years,76,0,50,35,91,443
By Month,2020,10,7,Nebraska,Total - All Places of Death,85 years and over,111,0,65,38,138,635
By Month,2020,11,7,Nebraska,Total - All Places of Death,65-74 years,128,0,73,52,149,397
By Month,2020,11,7,Nebraska,Total - All Places of Death,75-84 years,236,0,130,106,260,618
By Month,2020,11,7,Nebraska,Total - All Places of Death,85 years and over,334,0,162,131,365,868
By Month,2020,12,7,Nebraska,Total - All Places of Death,65-74 years,134,0,69,59,144,425
By Month,2020,12,7,Nebraska,Total - All Places of Death,75-84 years,174,0,104,81,197,509
By Month,2020,12,7,Nebraska,Total - All Places of Death,85 years and over,237,0,115,79,273,714
By Month,2021,1,7,Nebraska,Total - All Places of Death,65-74 years,63,5,54,33,84,345
By Month,2021,1,7,Nebraska,Total - All Places of Death,75-84 years,107,0,60,41,126,440
By Month,2021,1,7,Nebraska,Total - All Places of Death,85 years and over,114,0,79,47,146,616
By Month,2021,2,7,Nebraska,Total - All Places of Death,65-74 years,20,5,22,12,31,264
By Month,2021,2,7,Nebraska,Total - All Places of Death,75-84 years,42,0,55,29,68,336
By Month,2021,2,7,Nebraska,Total - All Places of Death,85 years and over,42,0,33,11,64,442
By Month,2021,3,7,Nebraska,Total - All Places of Death,65-74 years,21,0,23,5,35,291
By Month,2021,3,7,Nebraska,Total - All Places of Death,75-84 years,20,0,29,5,41,344
By Month,2021,3,7,Nebraska,Total - All Places of Death,85 years and over,18,0,33,5,45,478
By Month,2021,4,7,Nebraska,Total - All Places of Death,65-74 years,13,0,20,5,28,291
By Month,2021,4,7,Nebraska,Total - All Places of Death,75-84 years,13,0,20,5,28,329
By Month,2021,4,7,Nebraska,Total - All Places of Death,85 years and over,16,0,44,5,51,494
By Month,2021,5,7,Nebraska,Total - All Places of Death,65-74 years,17,0,27,10,34,340
By Month,2021,5,7,Nebraska,Total - All Places of Death,75-84 years,5,0,22,5,28,348
By Month,2021,5,7,Nebraska,Total - All Places of Death,85 years and over,18,0,25,5,39,465
By Month,2021,6,7,Nebraska,Total - All Places of Death,65-74 years,5,5,18,0,20,261
By Month,2021,6,7,Nebraska,Total - All Places of Death,75-84 years,10,0,22,5,30,328
By Month,2021,6,7,Nebraska,Total - All Places of Death,85 years and over,5,0,31,5,35,411
By Month,2021,7,7,Nebraska,Total - All Places of Death,65-74 years,5,0,14,0,18,283
By Month,2021,7,7,Nebraska,Total - All Places of Death,75-84 years,14,0,28,5,37,354
By Month,2021,7,7,Nebraska,Total - All Places of Death,85 years and over,5,0,21,5,26,442
By Month,2021,8,7,Nebraska,Total - All Places of Death,65-74 years,33,0,32,13,52,322
By Month,2021,8,7,Nebraska,Total - All Places of Death,75-84 years,27,0,40,19,48,372
By Month,2021,8,7,Nebraska,Total - All Places of Death,85 years and over,38,0,49,16,71,499
By Month,2021,9,7,Nebraska,Total - All Places of Death,65-74 years,40,0,52,23,69,327
By Month,2021,9,7,Nebraska,Total - All Places of Death,75-84 years,39,0,39,14,64,403
By Month,2021,9,7,Nebraska,Total - All Places of Death,85 years and over,49,5,44,21,73,491
By Month,2021,10,7,Nebraska,Total - All Places of Death,65-74 years,65,0,56,40,81,348
By Month,2021,10,7,Nebraska,Total - All Places of Death,75-84 years,53,0,51,30,74,420
By Month,2021,10,7,Nebraska,Total - All Places of Death,85 years and over,54,0,45,22,77,572
By Month,2021,11,7,Nebraska,Total - All Places of Death,65-74 years,65,0,62,34,93,362
By Month,2021,11,7,Nebraska,Total - All Places of Death,75-84 years,54,0,46,27,73,422
By Month,2021,11,7,Nebraska,Total - All Places of Death,85 years and over,63,0,60,25,98,550
By Month,2021,12,7,Nebraska,Total - All Places of Death,65-74 years,95,0,79,53,121,403
By Month,2021,12,7,Nebraska,Total - All Places of Death,75-84 years,71,0,68,35,104,455
By Month,2021,12,7,Nebraska,Total - All Places of Death,85 years and over,68,0,61,35,94,625
By Month,2022,1,7,Nebraska,Total - All Places of Death,65-74 years,95,5,75,58,114,428
By Month,2022,1,7,Nebraska,Total - All Places of Death,75-84 years,94,5,79,53,122,513
By Month,2022,1,7,Nebraska,Total - All Places of Death,85 years and over,104,5,80,33,153,659
By Month,2022,2,7,Nebraska,Total - All Places of Death,65-74 years,79,5,56,41,95,349
By Month,2022,2,7,Nebraska,Total - All Places of Death,75-84 years,67,5,50,32,87,395
By Month,2022,2,7,Nebraska,Total - All Places of Death,85 years and over,64,5,48,18,95,540
By Month,2022,3,7,Nebraska,Total - All Places of Death,65-74 years,22,0,28,12,38,296
By Month,2022,3,7,Nebraska,Total - All Places of Death,75-84 years,20,5,32,5,45,380
By Month,2022,3,7,Nebraska,Total - All Places of Death,85 years and over,24,5,43,5,61,526
By Month,2022,4,7,Nebraska,Total - All Places of Death,65-74 years,5,5,23,5,26,273
By Month,2022,4,7,Nebraska,Total - All Places of Death,75-84 years,5,5,26,5,36,381
By Month,2022,4,7,Nebraska,Total - All Places of Death,85 years and over,5,5,32,5,40,463
By Month,2022,5,7,Nebraska,Total - All Places of Death,65-74 years,5,5,15,5,18,276
By Month,2022,5,7,Nebraska,Total - All Places of Death,75-84 years,5,0,25,5,31,332
By Month,2022,5,7,Nebraska,Total - All Places of Death,85 years and over,19,0,31,5,43,511
By Month,2022,6,7,Nebraska,Total - All Places of Death,65-74 years,5,5,11,5,17,254
By Month,2022,6,7,Nebraska,Total - All Places of Death,75-84 years,13,0,20,5,32,347
By Month,2022,6,7,Nebraska,Total - All Places of Death,85 years and over,22,0,25,5,43,412
By Month,2022,7,7,Nebraska,Total - All Places of Death,65-74 years,11,0,18,5,28,262
By Month,2022,7,7,Nebraska,Total - All Places of Death,75-84 years,23,0,21,5,39,381
By Month,2022,7,7,Nebraska,Total - All Places of Death,85 years and over,30,5,21,5,49,515
By Month,2022,8,7,Nebraska,Total - All Places of Death,65-74 years,13,0,13,5,21,287
By Month,2022,8,7,Nebraska,Total - All Places of Death,75-84 years,14,0,27,5,37,347
By Month,2022,8,7,Nebraska,Total - All Places of Death,85 years and over,27,5,23,5,43,499
By Month,2022,9,7,Nebraska,Total - All Places of Death,65-74 years,5,5,11,5,17,269
By Month,2022,9,7,Nebraska,Total - All Places of Death,75-84 years,13,0,20,5,29,362
By Month,2022,9,7,Nebraska,Total - All Places of Death,85 years and over,30,0,31,5,53,481
By Month,2022,10,7,Nebraska,Total - All Places of Death,65-74 years,10,0,22,5,30,327
By Month,2022,10,7,Nebraska,Total - All Places of Death,75-84 years,11,0,19,5,29,412
By Month,2022,10,7,Nebraska,Total - All Places of Death,85 years and over,17,5,23,5,36,525
By Month,2022,11,7,Nebraska,Total - All Places of Death,65-74 years,16,5,21,5,31,313
By Month,2022,11,7,Nebraska,Total - All Places of Death,75-84 years,27,5,26,12,42,368
By Month,2022,11,7,Nebraska,Total - All Places of Death,85 years and over,35,0,31,5,58,519
By Month,2022,12,7,Nebraska,Total - All Places of Death,65-74 years,19,5,26,5,41,332
By Month,2022,12,7,Nebraska,Total - All Places of Death,75-84 years,30,10,29,5,60,436
By Month,2022,12,7,Nebraska,Total - All Places of Death,85 years and over,48,11,57,13,101,612
By Month,2023,1,7,Nebraska,Total - All Places of Death,65-74 years,12,5,16,5,29,315
By Month,2023,1,7,Nebraska,Total - All Places of Death,75-84 years,30,5,42,12,64,434
By Month,2023,1,7,Nebraska,Total - All Places of Death,85 years and over,30,5,37,5,67,551
By Month,2023,2,7,Nebraska,Total - All Places of Death,65-74 years,5,5,14,5,17,277
By Month,2023,2,7,Nebraska,Total - All Places of Death,75-84 years,19,5,32,5,45,398
By Month,2023,2,7,Nebraska,Total - All Places of Death,85 years and over,24,0,38,5,53,490
By Month,2023,3,7,Nebraska,Total - All Places of Death,65-74 years,5,0,20,5,27,321
By Month,2023,3,7,Nebraska,Total - All Places of Death,75-84 years,19,0,32,5,46,392
By Month,2023,3,7,Nebraska,Total - All Places of Death,85 years and over,32,5,39,5,64,531
By Month,2023,4,7,Nebraska,Total - All Places of Death,65-74 years,5,0,17,5,21,157
By Month,2023,4,7,Nebraska,Total - All Places of Death,75-84 years,11,0,18,5,25,222
By Month,2023,4,7,Nebraska,Total - All Places of Death,85 years and over,18,0,20,5,36,338
By Month,2020,1,9,Nevada,Total - All Places of Death,65-74 years,0,5,46,0,51,542
By Month,2020,1,9,Nevada,Total - All Places of Death,75-84 years,0,5,44,0,45,667
By Month,2020,1,9,Nevada,Total - All Places of Death,85 years and over,0,5,29,0,31,565
By Month,2020,2,9,Nevada,Total - All Places of Death,65-74 years,0,5,32,0,37,540
By Month,2020,2,9,Nevada,Total - All Places of Death,75-84 years,0,5,44,0,49,580
By Month,2020,2,9,Nevada,Total - All Places of Death,85 years and over,0,5,29,0,31,535
By Month,2020,3,9,Nevada,Total - All Places of Death,65-74 years,12,5,61,10,66,538
By Month,2020,3,9,Nevada,Total - All Places of Death,75-84 years,5,5,67,5,71,630
By Month,2020,3,9,Nevada,Total - All Places of Death,85 years and over,5,5,38,5,42,560
By Month,2020,4,9,Nevada,Total - All Places of Death,65-74 years,61,0,95,49,107,568
By Month,2020,4,9,Nevada,Total - All Places of Death,75-84 years,66,5,86,51,102,583
By Month,2020,4,9,Nevada,Total - All Places of Death,85 years and over,43,0,60,34,69,576
By Month,2020,5,9,Nevada,Total - All Places of Death,65-74 years,50,0,67,35,82,526
By Month,2020,5,9,Nevada,Total - All Places of Death,75-84 years,49,0,61,32,78,602
By Month,2020,5,9,Nevada,Total - All Places of Death,85 years and over,25,0,39,21,43,523
By Month,2020,6,9,Nevada,Total - All Places of Death,65-74 years,20,5,45,13,53,548
By Month,2020,6,9,Nevada,Total - All Places of Death,75-84 years,34,0,50,21,63,615
By Month,2020,6,9,Nevada,Total - All Places of Death,85 years and over,12,0,33,5,37,477
By Month,2020,7,9,Nevada,Total - All Places of Death,65-74 years,91,0,100,68,123,610
By Month,2020,7,9,Nevada,Total - All Places of Death,75-84 years,113,0,122,86,149,729
By Month,2020,7,9,Nevada,Total - All Places of Death,85 years and over,70,0,74,50,94,561
By Month,2020,8,9,Nevada,Total - All Places of Death,65-74 years,122,0,135,97,160,664
By Month,2020,8,9,Nevada,Total - All Places of Death,75-84 years,132,0,138,101,169,751
By Month,2020,8,9,Nevada,Total - All Places of Death,85 years and over,84,0,86,64,106,613
By Month,2020,9,9,Nevada,Total - All Places of Death,65-74 years,60,0,86,50,96,547
By Month,2020,9,9,Nevada,Total - All Places of Death,75-84 years,52,0,79,36,95,612
By Month,2020,9,9,Nevada,Total - All Places of Death,85 years and over,46,0,45,31,60,548
By Month,2020,10,9,Nevada,Total - All Places of Death,65-74 years,53,0,83,43,93,568
By Month,2020,10,9,Nevada,Total - All Places of Death,75-84 years,42,0,60,36,66,623
By Month,2020,10,9,Nevada,Total - All Places of Death,85 years and over,31,0,38,19,50,534
By Month,2020,11,9,Nevada,Total - All Places of Death,65-74 years,137,0,141,110,168,690
By Month,2020,11,9,Nevada,Total - All Places of Death,75-84 years,148,0,150,118,180,719
By Month,2020,11,9,Nevada,Total - All Places of Death,85 years and over,98,0,92,70,120,610
By Month,2020,12,9,Nevada,Total - All Places of Death,65-74 years,298,0,284,237,345,887
By Month,2020,12,9,Nevada,Total - All Places of Death,75-84 years,402,5,358,320,441,1035
By Month,2020,12,9,Nevada,Total - All Places of Death,85 years and over,262,0,245,213,294,885
By Month,2021,1,9,Nevada,Total - All Places of Death,65-74 years,302,5,284,249,338,852
By Month,2021,1,9,Nevada,Total - All Places of Death,75-84 years,346,5,324,285,385,1026
By Month,2021,1,9,Nevada,Total - All Places of Death,85 years and over,243,0,214,194,263,813
By Month,2021,2,9,Nevada,Total - All Places of Death,65-74 years,152,5,154,123,184,631
By Month,2021,2,9,Nevada,Total - All Places of Death,75-84 years,165,5,169,129,206,744
By Month,2021,2,9,Nevada,Total - All Places of Death,85 years and over,92,0,85,73,104,552
By Month,2021,3,9,Nevada,Total - All Places of Death,65-74 years,78,5,100,58,121,661
By Month,2021,3,9,Nevada,Total - All Places of Death,75-84 years,56,0,72,39,89,660
By Month,2021,3,9,Nevada,Total - All Places of Death,85 years and over,37,0,41,23,55,535
By Month,2021,4,9,Nevada,Total - All Places of Death,65-74 years,39,0,61,31,69,559
By Month,2021,4,9,Nevada,Total - All Places of Death,75-84 years,36,0,65,30,71,608
By Month,2021,4,9,Nevada,Total - All Places of Death,85 years and over,20,0,36,15,41,470
By Month,2021,5,9,Nevada,Total - All Places of Death,65-74 years,39,0,61,24,76,579
By Month,2021,5,9,Nevada,Total - All Places of Death,75-84 years,21,0,51,12,60,586
By Month,2021,5,9,Nevada,Total - All Places of Death,85 years and over,17,0,33,12,38,459
By Month,2021,6,9,Nevada,Total - All Places of Death,65-74 years,29,0,54,25,58,551
By Month,2021,6,9,Nevada,Total - All Places of Death,75-84 years,28,0,49,21,56,584
By Month,2021,6,9,Nevada,Total - All Places of Death,85 years and over,17,0,37,11,43,480
By Month,2021,7,9,Nevada,Total - All Places of Death,65-74 years,90,0,103,72,121,663
By Month,2021,7,9,Nevada,Total - All Places of Death,75-84 years,83,0,96,71,108,694
By Month,2021,7,9,Nevada,Total - All Places of Death,85 years and over,38,0,49,31,56,515
By Month,2021,8,9,Nevada,Total - All Places of Death,65-74 years,202,0,197,163,236,723
By Month,2021,8,9,Nevada,Total - All Places of Death,75-84 years,153,0,151,121,183,768
By Month,2021,8,9,Nevada,Total - All Places of Death,85 years and over,60,0,71,50,81,550
By Month,2021,9,9,Nevada,Total - All Places of Death,65-74 years,183,0,193,156,220,700
By Month,2021,9,9,Nevada,Total - All Places of Death,75-84 years,136,0,139,100,175,741
By Month,2021,9,9,Nevada,Total - All Places of Death,85 years and over,85,0,74,55,104,553
By Month,2021,10,9,Nevada,Total - All Places of Death,65-74 years,143,0,157,121,179,701
By Month,2021,10,9,Nevada,Total - All Places of Death,75-84 years,125,5,131,94,163,776
By Month,2021,10,9,Nevada,Total - All Places of Death,85 years and over,64,0,73,52,85,584
By Month,2021,11,9,Nevada,Total - All Places of Death,65-74 years,115,0,133,92,156,650
By Month,2021,11,9,Nevada,Total - All Places of Death,75-84 years,102,0,117,73,146,766
By Month,2021,11,9,Nevada,Total - All Places of Death,85 years and over,75,0,85,58,102,604
By Month,2021,12,9,Nevada,Total - All Places of Death,65-74 years,125,0,143,100,168,712
By Month,2021,12,9,Nevada,Total - All Places of Death,75-84 years,114,0,130,87,157,831
By Month,2021,12,9,Nevada,Total - All Places of Death,85 years and over,57,0,73,44,86,620
By Month,2022,1,9,Nevada,Total - All Places of Death,65-74 years,254,5,245,188,313,906
By Month,2022,1,9,Nevada,Total - All Places of Death,75-84 years,253,0,244,192,305,996
By Month,2022,1,9,Nevada,Total - All Places of Death,85 years and over,190,0,163,137,216,803
By Month,2022,2,9,Nevada,Total - All Places of Death,65-74 years,188,5,192,150,230,715
By Month,2022,2,9,Nevada,Total - All Places of Death,75-84 years,204,0,206,157,253,816
By Month,2022,2,9,Nevada,Total - All Places of Death,85 years and over,123,5,104,82,145,624
By Month,2022,3,9,Nevada,Total - All Places of Death,65-74 years,50,0,62,34,78,583
By Month,2022,3,9,Nevada,Total - All Places of Death,75-84 years,82,0,100,54,128,735
By Month,2022,3,9,Nevada,Total - All Places of Death,85 years and over,40,5,59,22,78,587
By Month,2022,4,9,Nevada,Total - All Places of Death,65-74 years,22,5,53,12,64,585
By Month,2022,4,9,Nevada,Total - All Places of Death,75-84 years,20,0,46,10,56,697
By Month,2022,4,9,Nevada,Total - All Places of Death,85 years and over,5,5,27,5,35,521
By Month,2022,5,9,Nevada,Total - All Places of Death,65-74 years,32,5,59,16,79,575
By Month,2022,5,9,Nevada,Total - All Places of Death,75-84 years,18,5,52,11,61,625
By Month,2022,5,9,Nevada,Total - All Places of Death,85 years and over,10,5,37,5,43,573
By Month,2022,6,9,Nevada,Total - All Places of Death,65-74 years,26,5,67,15,79,543
By Month,2022,6,9,Nevada,Total - All Places of Death,75-84 years,35,5,54,16,73,657
By Month,2022,6,9,Nevada,Total - All Places of Death,85 years and over,28,0,38,16,50,517
By Month,2022,7,9,Nevada,Total - All Places of Death,65-74 years,34,0,52,23,63,578
By Month,2022,7,9,Nevada,Total - All Places of Death,75-84 years,60,0,82,35,107,695
By Month,2022,7,9,Nevada,Total - All Places of Death,85 years and over,48,0,55,31,72,578
By Month,2022,8,9,Nevada,Total - All Places of Death,65-74 years,23,0,60,16,67,545
By Month,2022,8,9,Nevada,Total - All Places of Death,75-84 years,33,0,59,19,73,683
By Month,2022,8,9,Nevada,Total - All Places of Death,85 years and over,27,0,34,5,52,497
By Month,2022,9,9,Nevada,Total - All Places of Death,65-74 years,17,0,42,10,49,557
By Month,2022,9,9,Nevada,Total - All Places of Death,75-84 years,12,0,50,10,52,629
By Month,2022,9,9,Nevada,Total - All Places of Death,85 years and over,11,0,36,5,39,496
By Month,2022,10,9,Nevada,Total - All Places of Death,65-74 years,13,5,43,5,49,563
By Month,2022,10,9,Nevada,Total - All Places of Death,75-84 years,24,0,53,16,61,654
By Month,2022,10,9,Nevada,Total - All Places of Death,85 years and over,13,0,42,10,45,520
By Month,2022,11,9,Nevada,Total - All Places of Death,65-74 years,27,5,70,16,83,576
By Month,2022,11,9,Nevada,Total - All Places of Death,75-84 years,38,5,71,24,87,718
By Month,2022,11,9,Nevada,Total - All Places of Death,85 years and over,29,5,56,18,68,547
By Month,2022,12,9,Nevada,Total - All Places of Death,65-74 years,30,15,67,16,95,640
By Month,2022,12,9,Nevada,Total - All Places of Death,75-84 years,48,15,101,25,137,838
By Month,2022,12,9,Nevada,Total - All Places of Death,85 years and over,58,12,83,39,114,674
By Month,2023,1,9,Nevada,Total - All Places of Death,65-74 years,22,5,67,15,79,630
By Month,2023,1,9,Nevada,Total - All Places of Death,75-84 years,35,5,90,28,103,715
By Month,2023,1,9,Nevada,Total - All Places of Death,85 years and over,31,5,53,15,74,660
By Month,2023,2,9,Nevada,Total - All Places of Death,65-74 years,5,5,42,5,45,538
By Month,2023,2,9,Nevada,Total - All Places of Death,75-84 years,16,5,65,13,69,670
By Month,2023,2,9,Nevada,Total - All Places of Death,85 years and over,13,0,27,5,34,529
By Month,2023,3,9,Nevada,Total - All Places of Death,65-74 years,15,0,49,14,50,564
By Month,2023,3,9,Nevada,Total - All Places of Death,75-84 years,20,0,68,12,76,705
By Month,2023,3,9,Nevada,Total - All Places of Death,85 years and over,16,5,37,5,45,540
By Month,2023,4,9,Nevada,Total - All Places of Death,65-74 years,5,0,21,5,29,340
