deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
1194,5,1025,746,1474,6875
5,0,5,5,5,76
14,0,10,5,18,186
66,0,51,44,73,281
142,0,98,88,152,378
321,0,243,200,364,1205
301,0,259,194,366,1426
226,0,223,147,302,1719
121,5,139,66,195,1604
1125,5,1019,709,1436,6887
5,0,5,5,5,68
18,0,15,13,20,172
51,0,37,33,55,241
84,0,68,54,98,369
325,0,259,214,370,1226
280,5,252,176,357,1421
229,0,242,146,325,1718
136,0,144,72,208,1672
1615,0,1301,990,1926,7428
5,0,5,5,5,80
23,0,15,11,27,159
53,0,37,28,62,232
108,0,78,65,121,335
375,0,318,252,441,1239
432,0,343,280,495,1609
381,0,300,223,458,1955
240,0,203,129,314,1819
2171,11,1675,1341,2514,8488
5,0,5,5,5,72
31,0,21,20,32,191
76,0,55,46,85,291
130,5,107,87,152,412
549,5,404,341,613,1534
558,5,413,356,617,1742
537,5,428,337,629,2208
288,5,240,152,379,2038
2081,15,1568,1199,2462,8546
5,0,5,5,5,85
24,0,19,13,30,147
56,5,35,29,63,257
114,0,77,66,125,364
406,5,316,251,476,1377
535,5,406,318,624,1851
579,5,428,324,687,2310
365,5,284,197,453,2155
1350,5,1035,750,1638,6876
5,0,0,0,5,58
5,0,5,5,5,141
23,0,19,15,27,195
49,0,37,26,60,285
216,5,164,121,261,1027
352,0,283,215,420,1532
418,5,313,222,510,1855
284,0,215,149,350,1783
452,5,515,231,741,6331
5,0,5,0,5,75
5,0,5,0,5,148
5,0,10,5,15,200
5,5,13,5,17,251
70,0,85,37,118,956
116,5,137,77,178,1304
146,5,155,71,231,1695
99,5,112,37,175,1702
125,5,317,59,390,5659
5,5,5,0,5,63
5,0,0,0,5,159
5,0,5,5,5,191
5,0,12,5,13,265
16,5,40,5,53,838
29,5,90,14,106,1143
41,5,85,18,110,1484
33,5,84,19,99,1516
128,14,349,50,440,5839
0,5,5,0,5,84
5,0,5,5,5,127
5,0,5,5,10,202
5,5,19,5,21,296
20,5,65,5,79,919
33,5,68,11,91,1159
30,5,110,13,131,1532
38,5,73,14,101,1520
218,5,356,95,483,5630
5,5,5,0,5,78
5,0,5,5,5,152
5,5,5,5,5,223
5,0,17,5,19,270
19,0,57,10,66,887
40,5,77,20,98,1085
57,0,97,20,134,1450
93,5,99,40,153,1485
268,5,315,106,479,6131
5,0,5,0,5,63
5,0,5,5,5,169
5,5,5,5,11,276
12,0,14,5,20,298
39,0,44,13,70,1030
53,0,67,24,96,1235
81,0,98,32,147,1553
75,5,78,27,127,1507
196,5,321,69,449,5700
5,0,5,0,5,74
5,0,5,5,5,154
5,0,5,5,5,231
5,0,5,5,11,227
23,0,51,5,65,900
41,0,83,17,107,1166
56,5,97,20,134,1506
65,0,69,18,116,1442
157,5,292,55,397,5517
5,0,5,0,5,66
5,0,5,0,5,139
5,0,5,5,10,218
5,0,11,5,14,277
17,0,49,5,57,831
31,5,66,15,85,1132
47,0,83,14,116,1430
53,0,70,15,108,1424
131,5,305,57,382,5685
5,5,5,0,5,78
5,0,5,5,5,147
5,0,10,5,13,198
5,0,5,5,10,248
18,5,54,5,67,846
25,0,66,14,77,1181
28,0,83,13,98,1506
47,0,80,20,107,1481
288,27,405,119,597,6221
0,5,5,0,5,72
5,5,5,0,5,121
5,5,5,5,11,212
5,5,16,5,24,244
28,5,65,11,88,896
58,5,93,27,127,1245
86,5,114,33,172,1706
105,5,102,45,164,1725
511,58,595,218,944,6936
5,0,5,5,5,79
5,5,5,5,5,137
5,5,14,5,20,201
5,5,18,5,24,300
51,12,72,19,116,1028
96,15,123,41,193,1362
154,13,182,66,281,1880
194,11,179,84,300,1949
246,26,471,115,627,6499
5,5,5,5,5,66
0,0,5,0,5,118
5,5,12,0,14,203
5,5,13,5,17,246
22,5,73,5,92,976
60,5,119,32,149,1282
69,5,133,35,172,1783
89,5,115,37,173,1825
127,5,314,56,392,5727
0,0,5,0,5,59
0,0,5,0,5,121
5,5,5,5,5,189
5,5,5,5,11,227
5,0,58,5,62,793
22,5,63,5,80,1131
46,0,94,20,120,1628
45,5,77,20,104,1579
153,5,381,70,468,6149
0,0,5,0,5,81
5,0,5,5,5,150
5,0,5,0,10,202
5,0,15,5,16,260
12,5,48,5,56,852
35,0,88,15,108,1267
45,5,118,24,140,1628
56,5,96,23,131,1709
94,5,272,45,322,4383
0,0,0,0,0,35
0,0,5,0,5,74
0,0,5,0,5,131
0,5,5,0,5,155
5,0,38,5,42,561
18,0,66,5,77,858
31,0,92,18,105,1307
36,0,65,15,86,1262
0,22,222,0,244,2926
0,0,5,0,5,41
0,0,5,0,5,54
0,0,5,0,5,74
0,5,10,0,12,129
0,5,34,0,41,521
0,5,42,0,47,627
0,5,58,0,62,733
0,5,73,0,77,747
0,35,179,0,214,2808
0,5,0,0,5,37
0,0,5,0,5,40
0,5,5,0,5,71
0,5,5,0,12,110
0,11,36,0,47,491
0,5,28,0,35,592
0,5,48,0,54,743
0,5,51,0,57,724
10,29,196,5,232,2849
0,5,5,0,5,39
0,5,5,0,5,47
0,5,5,0,5,81
5,0,5,0,5,126
5,5,47,5,56,511
5,11,45,0,59,617
5,5,48,5,54,722
5,5,45,5,47,706
61,5,214,16,261,2685
0,0,0,0,0,35
5,0,5,0,5,61
5,0,5,0,5,71
5,0,5,5,5,138
11,0,36,5,42,485
5,0,47,5,50,576
17,5,63,5,77,661
21,5,56,5,75,658
78,5,173,30,224,2765
0,0,5,0,5,39
5,0,5,0,5,61
