,group,year,month,hhs_region,state,place_of_death,age_group,deaths_c19,deaths_flu,deaths_pna,deaths_c19_and_pna,deaths_c19_pna_or_flu,deaths_total
111,By Month,2022,1,10,Alaska,Total - All Places of Death,30-39 years,0,0,5,0.0,5,28
112,By Month,2022,1,10,Alaska,Total - All Places of Death,40-49 years,5,5,5,5.0,5,32
113,By Month,2022,1,10,Alaska,Total - All Places of Death,50-64 years,11,5,5,5.0,16,114
114,By Month,2022,1,10,Alaska,Total - All Places of Death,65-74 years,19,5,15,5.0,28,124
115,By Month,2022,1,10,Alaska,Total - All Places of Death,75-84 years,21,5,16,12.0,26,112
116,By Month,2022,1,10,Alaska,Total - All Places of Death,85 years and over,10,0,5,5.0,12,88
117,By Month,2022,2,10,Alaska,Total - All Places of Death,All Ages,79,0,55,43.0,91,433
118,By Month,2022,2,10,Alaska,Total - All Places of Death,0-17 years,5,0,0,0.0,5,5
119,By Month,2022,2,10,Alaska,Total - All Places of Death,18-29 years,5,0,0,0.0,5,17
120,By Month,2022,2,10,Alaska,Total - All Places of Death,30-39 years,5,0,5,5.0,5,27
121,By Month,2022,2,10,Alaska,Total - All Places of Death,40-49 years,5,0,5,5.0,5,24
122,By Month,2022,2,10,Alaska,Total - All Places of Death,50-64 years,20,0,14,11.0,23,85
123,By Month,2022,2,10,Alaska,Total - All Places of Death,65-74 years,23,0,16,14.0,25,105
124,By Month,2022,2,10,Alaska,Total - All Places of Death,75-84 years,17,0,15,12.0,20,91
125,By Month,2022,2,10,Alaska,Total - All Places of Death,85 years and over,10,0,5,5.0,12,77
126,By Month,2022,3,10,Alaska,Total - All Places of Death,All Ages,31,0,31,18.0,44,447
127,By Month,2022,3,10,Alaska,Total - All Places of Death,0-17 years,0,0,0,0.0,0,5
128,By Month,2022,3,10,Alaska,Total - All Places of Death,18-29 years,0,0,5,0.0,5,19
129,By Month,2022,3,10,Alaska,Total - All Places of Death,30-39 years,0,0,5,0.0,5,23
130,By Month,2022,3,10,Alaska,Total - All Places of Death,40-49 years,5,0,5,5.0,5,25
131,By Month,2022,3,10,Alaska,Total - All Places of Death,50-64 years,5,0,5,5.0,5,94
132,By Month,2022,3,10,Alaska,Total - All Places of Death,65-74 years,14,0,5,5.0,15,105
133,By Month,2022,3,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5.0,11,94
134,By Month,2022,3,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5.0,5,78
135,By Month,2022,4,10,Alaska,Total - All Places of Death,All Ages,20,5,23,5.0,37,413
136,By Month,2022,4,10,Alaska,Total - All Places of Death,0-17 years,0,0,0,0.0,0,5
137,By Month,2022,4,10,Alaska,Total - All Places of Death,18-29 years,0,0,5,0.0,5,11
138,By Month,2022,4,10,Alaska,Total - All Places of Death,30-39 years,0,5,5,0.0,5,31
139,By Month,2022,4,10,Alaska,Total - All Places of Death,40-49 years,0,5,0,0.0,5,22
140,By Month,2022,4,10,Alaska,Total - All Places of Death,50-64 years,0,0,5,0.0,5,73
141,By Month,2022,4,10,Alaska,Total - All Places of Death,65-74 years,5,0,5,5.0,5,91
142,By Month,2022,4,10,Alaska,Total - All Places of Death,75-84 years,5,5,5,5.0,11,87
143,By Month,2022,4,10,Alaska,Total - All Places of Death,85 years and over,5,0,5,5.0,5,91
144,By Month,2022,5,10,Alaska,Total - All Places of Death,All Ages,21,5,25,5.0,40,432
145,By Month,2022,5,10,Alaska,Total - All Places of Death,0-17 years,5,0,5,5.0,5,5
146,By Month,2022,5,10,Alaska,Total - All Places of Death,18-29 years,0,0,0,0.0,0,15
147,By Month,2022,5,10,Alaska,Total - All Places of Death,30-39 years,5,0,5,0.0,5,23
148,By Month,2022,5,10,Alaska,Total - All Places of Death,40-49 years,5,0,5,5.0,5,24
149,By Month,2022,5,10,Alaska,Total - All Places of Death,50-64 years,5,5,5,5.0,5,82
150,By Month,2022,5,10,Alaska,Total - All Places of Death,65-74 years,5,5,5,5.0,5,106
151,By Month,2022,5,10,Alaska,Total - All Places of Death,75-84 years,5,0,5,5.0,13,106
152,By Month,2022,5,10,Alaska,Total - All Places of Death,85 years and over,5,5,5,5.0,5,70
153,By Month,2022,6,10,Alaska,Total - All Places of Death,All Ages,19,5,22,5.0,37,470
